LRK nummer,datum_inspectie,type onderzoek,kleur vestiging,actuele_naam_oko,aantal_kindplaatsen,vve,inschrijfdatum,opvanglocatie_adres,opvanglocatie_postcode,opvanglocatie_woonplaats,longitude,latitude,naam_houder,kvk_nummer_houder,rechtsvorm_houder,houder_adres,houder_postcode,houder_woonplaats,houder_buitenland,correspondentie_adres,correspondentie_postcode,correspondentie_woonplaats,correspondentie_buitenland,contact_persoon,contact_telefoon,contact_emailadres,contact_website,kvkvestiging,houder.href,houder.text,houdervanaf,url
258488669,03/23/2012,Jaarlijks inspectiebezoek,groen,KDV Het Groeiland,66,Ja,01/01/2010,Ardennenlaan 133 ,1066MJ,Amsterdam,4.812791,52.3460182,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Ardennenlaan 133 ,1066MJ,AMSTERDAM,,,020-6178159',,,21395306,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32129
258488669,09/27/2013,Jaarlijks inspectiebezoek,groen,KDV Het Groeiland,66,Ja,01/01/2010,Ardennenlaan 133 ,1066MJ,Amsterdam,4.812791,52.3460182,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Ardennenlaan 133 ,1066MJ,AMSTERDAM,,,020-6178159',,,21395306,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32129
258488669,05/30/2014,Jaarlijks inspectiebezoek,groen,KDV Het Groeiland,66,Ja,01/01/2010,Ardennenlaan 133 ,1066MJ,Amsterdam,4.812791,52.3460182,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Ardennenlaan 133 ,1066MJ,AMSTERDAM,,,020-6178159',,,21395306,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32129
258488669,04/09/2015,Jaarlijks inspectiebezoek,geel,KDV Het Groeiland,66,Ja,01/01/2010,Ardennenlaan 133 ,1066MJ,Amsterdam,4.812791,52.3460182,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Ardennenlaan 133 ,1066MJ,AMSTERDAM,,,020-6178159',,,21395306,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32129
133497483,04/10/2014,Jaarlijks inspectiebezoek,groen,Kinderopvang Christoffel,58,Nee,01/01/2010,Louwesweg 4 ,1066EC,Amsterdam,4.824495,52.3473954,Smallsteps B.V.,60901934,BV,Postbus 586,7550AN,Hengelo,,Louwesweg 4 ,1066EC,AMSTERDAM,,Afdeling Huisvesting,074-2557000',huisvesting@smallsteps.info,http://www.smallsteps.info,20620098,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=14441&currentPage=0,Smallsteps B.V.,09/24/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31149
133497483,01/16/2015,Jaarlijks inspectiebezoek,geel,Kinderopvang Christoffel,58,Nee,01/01/2010,Louwesweg 4 ,1066EC,Amsterdam,4.824495,52.3473954,Smallsteps B.V.,60901934,BV,Postbus 586,7550AN,Hengelo,,Louwesweg 4 ,1066EC,AMSTERDAM,,Afdeling Huisvesting,074-2557000',huisvesting@smallsteps.info,http://www.smallsteps.info,20620098,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=14441&currentPage=0,Smallsteps B.V.,09/24/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31149
119039709,02/18/2014,Jaarlijks inspectiebezoek,geel,Pluizenbolletje,12,Nee,05/08/2013,Comeniusstraat 511 ,1065BX,Amsterdam,4.827287,52.3591914,Pluizenbolletje,56297831,VOF,Comeniusstraat 509 511,1065BX,AMSTERDAM,,Comeniusstraat 511 ,1065BX,Amsterdam,,Yesim Sancakdar - Aslan,020 3415934',info@pluizenbolletje.nl,http://www.pluizenbolletje.nl,25863983,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=10400&currentPage=0,Pluizenbolletje,04/08/2013,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=103269
119039709,01/28/2015,Jaarlijks inspectiebezoek,oranje,Pluizenbolletje,12,Nee,05/08/2013,Comeniusstraat 511 ,1065BX,Amsterdam,4.827287,52.3591914,Pluizenbolletje,56297831,VOF,Comeniusstraat 509 511,1065BX,AMSTERDAM,,Comeniusstraat 511 ,1065BX,Amsterdam,,Yesim Sancakdar - Aslan,020 3415934',info@pluizenbolletje.nl,http://www.pluizenbolletje.nl,25863983,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=10400&currentPage=0,Pluizenbolletje,04/08/2013,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=103269
938069329,02/10/2012,Jaarlijks inspectiebezoek,groen,KDV De Groeituin,69,Nee,01/01/2010,Hodenpijlkade 4 ,1058LX,Amsterdam,4.843457,52.3525085,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Hodenpijlkade 4 ,1058LX,AMSTERDAM,,,020-6691042',,,21394989,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32127
938069329,02/15/2013,Jaarlijks inspectiebezoek,groen,KDV De Groeituin,69,Nee,01/01/2010,Hodenpijlkade 4 ,1058LX,Amsterdam,4.843457,52.3525085,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Hodenpijlkade 4 ,1058LX,AMSTERDAM,,,020-6691042',,,21394989,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32127
938069329,02/07/2014,Jaarlijks inspectiebezoek,groen,KDV De Groeituin,69,Nee,01/01/2010,Hodenpijlkade 4 ,1058LX,Amsterdam,4.843457,52.3525085,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Hodenpijlkade 4 ,1058LX,AMSTERDAM,,,020-6691042',,,21394989,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32127
938069329,02/09/2015,Jaarlijks inspectiebezoek,groen,KDV De Groeituin,69,Nee,01/01/2010,Hodenpijlkade 4 ,1058LX,Amsterdam,4.843457,52.3525085,Impuls Kinderopvang B.V. ,34217635,BV,Postbus 9139,1006AC,AMSTERDAM,,Hodenpijlkade 4 ,1058LX,AMSTERDAM,,,020-6691042',,,21394989,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=8093&currentPage=0,Impuls Kinderopvang B.V.,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32127
325188142,02/22/2012,Jaarlijks inspectiebezoek,geel,Partou KDV Vespuccistraat 25H,30,Ja,01/01/2010,Vespuccistraat 25 H,1057CK,Amsterdam,4.853581,52.3698559,Partou B.V.,30225440,BV,Postbus 396,4130EJ,VIANEN UT,,,,,,Secretariaat,088-2357550',regiosecretariaat@partou.nl,http://www.partou.nl,19589832,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=1136&currentPage=0,Partou B.V.,01/01/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31919
325188142,10/24/2013,Jaarlijks inspectiebezoek,geel,Partou KDV Vespuccistraat 25H,30,Ja,01/01/2010,Vespuccistraat 25 H,1057CK,Amsterdam,4.853581,52.3698559,Partou B.V.,30225440,BV,Postbus 396,4130EJ,VIANEN UT,,,,,,Secretariaat,088-2357550',regiosecretariaat@partou.nl,http://www.partou.nl,19589832,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=1136&currentPage=0,Partou B.V.,01/01/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31919
325188142,10/03/2014,Jaarlijks inspectiebezoek,oranje,Partou KDV Vespuccistraat 25H,30,Ja,01/01/2010,Vespuccistraat 25 H,1057CK,Amsterdam,4.853581,52.3698559,Partou B.V.,30225440,BV,Postbus 396,4130EJ,VIANEN UT,,,,,,Secretariaat,088-2357550',regiosecretariaat@partou.nl,http://www.partou.nl,19589832,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=1136&currentPage=0,Partou B.V.,01/01/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31919
159007616,07/18/2013,Jaarlijks inspectiebezoek,grijs,Kinderopvang 't Zonnehoekje,16,Nee,01/01/2010,Admiraal de Ruijterweg 246A ,1055MN,Amsterdam,4.857563,52.3783492,Kinderopvang Zonnehoekje NH B.V.,57028710,BV,Baden Powellweg 70 ,1069LK,AMSTERDAM,,Evertsweertplantsoen 3a ,1069RK,AMSTERDAM,,Mevrouw M. Polat,020 4868010',info@zonnehoekje.com,http://www.zonnehoekje.com,27473430,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=11633&currentPage=0,Kinderopvang Zonnehoekje NH B.V.,05/03/2013,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32424
159007616,07/14/2014,Jaarlijks inspectiebezoek,oranje,Kinderopvang 't Zonnehoekje,16,Nee,01/01/2010,Admiraal de Ruijterweg 246A ,1055MN,Amsterdam,4.857563,52.3783492,Kinderopvang Zonnehoekje NH B.V.,57028710,BV,Baden Powellweg 70 ,1069LK,AMSTERDAM,,Evertsweertplantsoen 3a ,1069RK,AMSTERDAM,,Mevrouw M. Polat,020 4868010',info@zonnehoekje.com,http://www.zonnehoekje.com,27473430,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=11633&currentPage=0,Kinderopvang Zonnehoekje NH B.V.,05/03/2013,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32424
159007616,03/31/2015,Jaarlijks inspectiebezoek,oranje,Kinderopvang 't Zonnehoekje,16,Nee,01/01/2010,Admiraal de Ruijterweg 246A ,1055MN,Amsterdam,4.857563,52.3783492,Kinderopvang Zonnehoekje NH B.V.,57028710,BV,Baden Powellweg 70 ,1069LK,AMSTERDAM,,Evertsweertplantsoen 3a ,1069RK,AMSTERDAM,,Mevrouw M. Polat,020 4868010',info@zonnehoekje.com,http://www.zonnehoekje.com,27473430,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=11633&currentPage=0,Kinderopvang Zonnehoekje NH B.V.,05/03/2013,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32424
243095594,03/12/2013,Jaarlijks inspectiebezoek,geel,Partou KDV Admiraal De Ruijterweg 71h,16,Nee,02/08/2011,Admiraal De Ruijterweg 71 H,1057JX,Amsterdam,4.860495,52.3712617,Partou B.V.,30225440,BV,Postbus 396,4130EJ,VIANEN UT,,,,,,Secretariaat,088-2357550',regiosecretariaat@partou.nl,http://www.partou.nl,22130748,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=1136&currentPage=0,Partou B.V.,01/01/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=74357
243095594,05/28/2014,Jaarlijks inspectiebezoek,groen,Partou KDV Admiraal De Ruijterweg 71h,16,Nee,02/08/2011,Admiraal De Ruijterweg 71 H,1057JX,Amsterdam,4.860495,52.3712617,Partou B.V.,30225440,BV,Postbus 396,4130EJ,VIANEN UT,,,,,,Secretariaat,088-2357550',regiosecretariaat@partou.nl,http://www.partou.nl,22130748,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=1136&currentPage=0,Partou B.V.,01/01/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=74357
243095594,04/08/2015,Jaarlijks inspectiebezoek,geel,Partou KDV Admiraal De Ruijterweg 71h,16,Nee,02/08/2011,Admiraal De Ruijterweg 71 H,1057JX,Amsterdam,4.860495,52.3712617,Partou B.V.,30225440,BV,Postbus 396,4130EJ,VIANEN UT,,,,,,Secretariaat,088-2357550',regiosecretariaat@partou.nl,http://www.partou.nl,22130748,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=1136&currentPage=0,Partou B.V.,01/01/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=74357
627094983,05/09/2012,Jaarlijks inspectiebezoek,oranje,CompaNanny Titiaan B.V.,65,Nee,05/03/2010,Titiaanstraat 24 ,1077RH,Amsterdam,4.868999,52.3497739,CompaNanny Titiaan B.V.,34364829,BV,Titiaanstraat 24 ,1077RH,AMSTERDAM,,Postbus 69455,1060CM,AMSTERDAM,,,020-4170117',,,19306881,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3893&currentPage=0,CompaNanny Titiaan B.V.,03/02/2010,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31828
627094983,07/11/2013,Jaarlijks inspectiebezoek,geel,CompaNanny Titiaan B.V.,65,Nee,05/03/2010,Titiaanstraat 24 ,1077RH,Amsterdam,4.868999,52.3497739,CompaNanny Titiaan B.V.,34364829,BV,Titiaanstraat 24 ,1077RH,AMSTERDAM,,Postbus 69455,1060CM,AMSTERDAM,,,020-4170117',,,19306881,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3893&currentPage=0,CompaNanny Titiaan B.V.,03/02/2010,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31828
627094983,01/29/2014,Jaarlijks inspectiebezoek,groen,CompaNanny Titiaan B.V.,65,Nee,05/03/2010,Titiaanstraat 24 ,1077RH,Amsterdam,4.868999,52.3497739,CompaNanny Titiaan B.V.,34364829,BV,Titiaanstraat 24 ,1077RH,AMSTERDAM,,Postbus 69455,1060CM,AMSTERDAM,,,020-4170117',,,19306881,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3893&currentPage=0,CompaNanny Titiaan B.V.,03/02/2010,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31828
627094983,05/04/2015,Jaarlijks inspectiebezoek,groen,CompaNanny Titiaan B.V.,65,Nee,05/03/2010,Titiaanstraat 24 ,1077RH,Amsterdam,4.868999,52.3497739,CompaNanny Titiaan B.V.,34364829,BV,Titiaanstraat 24 ,1077RH,AMSTERDAM,,Postbus 69455,1060CM,AMSTERDAM,,,020-4170117',,,19306881,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3893&currentPage=0,CompaNanny Titiaan B.V.,03/02/2010,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31828
222902127,11/12/2013,Jaarlijks inspectiebezoek,oranje,Kinderopvang bilderdijkpark,67,Nee,01/01/2010,Bilderdijkpark 4b ,1052RZ,Amsterdam,4.869183,52.3717318,Smallsteps B.V.,60901934,BV,Postbus 586,7550AN,Hengelo,,Bilderdijkpark 4b ,1052RZ,AMSTERDAM,,Afdeling Huisvesting,074-2557000',huisvesting@smallsteps.info,http://www.smallsteps.info,79294,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=14441&currentPage=0,Smallsteps B.V.,09/24/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31031
222902127,10/20/2014,Jaarlijks inspectiebezoek,groen,Kinderopvang bilderdijkpark,67,Nee,01/01/2010,Bilderdijkpark 4b ,1052RZ,Amsterdam,4.869183,52.3717318,Smallsteps B.V.,60901934,BV,Postbus 586,7550AN,Hengelo,,Bilderdijkpark 4b ,1052RZ,AMSTERDAM,,Afdeling Huisvesting,074-2557000',huisvesting@smallsteps.info,http://www.smallsteps.info,79294,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=14441&currentPage=0,Smallsteps B.V.,09/24/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31031
405786682,04/30/2015,Jaarlijks inspectiebezoek,geel,Stichting Kindcentrum Willemientje,39,Nee,09/24/2014,Pesthuislaan 77 ,1054RJ,Amsterdam,4.870279,52.363369,Stichting Kindcentrum Willemientje,61612197,Stichting,Pesthuislaan 77 ,1054RJ,Amsterdam,,Pesthuislaan 77 ,1054RJ,AMSTERDAM,,,,,,21052344,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=15312&currentPage=0,Stichting Kindcentrum Willemientje,03/01/2015,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=120358
