LRK nummer,jaar,kleur vestiging,actuele_naam_oko,aantal_kindplaatsen,vve,inschrijfdatum,opvanglocatie_adres,opvanglocatie_postcode,opvanglocatie_woonplaats,longitude,latitude,naam_houder,kvk_nummer_houder,rechtsvorm_houder,houder_adres,houder_postcode,houder_woonplaats,correspondentie_adres,correspondentie_postcode,correspondentie_woonplaats,contact_persoon,contact_telefoon,contact_emailadres,contact_website,houder.href,houder.text,houdervanaf,url
332539696,2015,geel,Boeventuin,35,Nee,01/01/2010,Geusevesperstraat 5 ,2026SH,HAARLEM,4.6509421,52.420708,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Geusevesperstraat 5 ,2026SH,HAARLEM,A. Zoomers,023-5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23529
903428398,2014,groen,Boris Buitelaar,35,Nee,01/01/2010,Venkelstraat 99 ,2034MT,HAARLEM,4.645265,52.3671878,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Venkelstraat 99 ,2034MT,HAARLEM,A. Zoomers,023-5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23518
903428398,2015,groen,Boris Buitelaar,35,Nee,01/01/2010,Venkelstraat 99 ,2034MT,HAARLEM,4.645265,52.3671878,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Venkelstraat 99 ,2034MT,HAARLEM,A. Zoomers,023-5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23518
235054355,2015,geel,Calimero's Nest,12,Nee,09/21/2012,Engelenburg 2 4,2036RR,HAARLEM,4.6521538,52.3523371,Rahmuni,57571465,Eenmanszaak,,,,Engelenburg 2 4,2036RR,HAARLEM,N.el.H. Rahmuni,0623537768',info@calimerosnest.nl,http://www.calimerosnest.nl,,Mevrouw Nour el Houda Rahmuni,04/15/2013,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=94373
229333345,2013,geel,Club Bambino,34,Nee,01/01/2010,Monacopad 1 ,2034BS,HAARLEM,4.6462909,52.362907,Kinderdagverblijven Bambino B.V.,34102556,BV,Monacopad 1 ,2034BS,HAARLEM,Monacopad 1 ,2034BS,HAARLEM,,023-5401121',,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3264&currentPage=0,Kinderdagverblijven Bambino B.V.,08/15/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23607
229333345,2014,geel,Club Bambino,34,Nee,01/01/2010,Monacopad 1 ,2034BS,HAARLEM,4.6462909,52.362907,Kinderdagverblijven Bambino B.V.,34102556,BV,Monacopad 1 ,2034BS,HAARLEM,Monacopad 1 ,2034BS,HAARLEM,,023-5401121',,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3264&currentPage=0,Kinderdagverblijven Bambino B.V.,08/15/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23607
229333345,2015,geel,Club Bambino,34,Nee,01/01/2010,Monacopad 1 ,2034BS,HAARLEM,4.6462909,52.362907,Kinderdagverblijven Bambino B.V.,34102556,BV,Monacopad 1 ,2034BS,HAARLEM,Monacopad 1 ,2034BS,HAARLEM,,023-5401121',,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3264&currentPage=0,Kinderdagverblijven Bambino B.V.,08/15/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23607
112019717,2015,groen,De Benjamins,36,Nee,08/08/2014,Velserstraat 55 ,2023EB,HAARLEM,4.633085,52.3935468,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Velserstraat 55 ,2023EB,HAARLEM,A. Zoomers,023-5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,06/16/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=117240
134298111,2014,groen,De Bibelebontseberg,36,Nee,01/13/2012,Jan Gijzenkade 305 ,2025MC,HAARLEM,4.6466516,52.4128958,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,A. Zoomers,023 5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,10/24/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=84848
134298111,2015,groen,De Bibelebontseberg,36,Nee,01/13/2012,Jan Gijzenkade 305 ,2025MC,HAARLEM,4.6466516,52.4128958,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,A. Zoomers,023 5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,10/24/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=84848
134442982,2014,geel,KDV De Kring Op Stoom,16,Nee,09/30/2011,Parklaan 108 ,2011KZ,HAARLEM,4.64262972261571,52.3854525,Spaarnestad Op Stoom B.V.,34359125,BV,Rutherfordstraat 4 ,2014KA,HAARLEM,Rutherfordstraat 14 ,2014KA,HAARLEM,,023-5442737',secretariaat@opstoom.nl,http://www.opstoom.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3441&currentPage=0,Spaarnestad Op Stoom B.V.,08/04/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=82257
134442982,2015,geel,KDV De Kring Op Stoom,16,Nee,09/30/2011,Parklaan 108 ,2011KZ,HAARLEM,4.64262972261571,52.3854525,Spaarnestad Op Stoom B.V.,34359125,BV,Rutherfordstraat 4 ,2014KA,HAARLEM,Rutherfordstraat 14 ,2014KA,HAARLEM,,023-5442737',secretariaat@opstoom.nl,http://www.opstoom.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3441&currentPage=0,Spaarnestad Op Stoom B.V.,08/04/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=82257
630074793,2014,geel,De Rammelaar,13,Nee,01/01/2010,Soerabajastraat 19 ,2022RX,HAARLEM,4.6515554,52.4055626,Scholten,34117256,Eenmanszaak,,,,Soerabajastraat 19 ,2022RX,HAARLEM,,023-5380716',info@kdvderammelaar.nl,,,Mevrouw Miranda Scholten,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23654
630074793,2015,groen,De Rammelaar,13,Nee,01/01/2010,Soerabajastraat 19 ,2022RX,HAARLEM,4.6515554,52.4055626,Scholten,34117256,Eenmanszaak,,,,Soerabajastraat 19 ,2022RX,HAARLEM,,023-5380716',info@kdvderammelaar.nl,,,Mevrouw Miranda Scholten,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23654
630074793,2013,oranje,De Rammelaar,13,Nee,01/01/2010,Soerabajastraat 19 ,2022RX,HAARLEM,4.6515554,52.4055626,Scholten,34117256,Eenmanszaak,,,,Soerabajastraat 19 ,2022RX,HAARLEM,,023-5380716',info@kdvderammelaar.nl,,,Mevrouw Miranda Scholten,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23654
650493072,2014,groen,De Velden,48,Nee,08/02/2011,Zeedistelweg 4 ,2015KT,HAARLEM,4.607914,52.372062,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,M. Burgers,023-5123920',info@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=75728
650493072,2015,groen,De Velden,48,Nee,08/02/2011,Zeedistelweg 4 ,2015KT,HAARLEM,4.607914,52.372062,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,M. Burgers,023-5123920',info@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,03/01/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=75728
382304731,2013,groen,Dikke Maatjes,12,Nee,01/01/2010,Molukkenstraat 56 ,2022CD,HAARLEM,4.6501729,52.4000311,Kinderopvang Dikke Maatjes,34164984,BV,Molukkenstraat 56 ,2022CD,HAARLEM,Molukkenstraat 56 ,2022CD,HAARLEM,,023-5265333',info@dikke-maatjes.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3427&currentPage=0,Kinderopvang Dikke Maatjes,01/01/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23609
382304731,2014,groen,Dikke Maatjes,12,Nee,01/01/2010,Molukkenstraat 56 ,2022CD,HAARLEM,4.6501729,52.4000311,Kinderopvang Dikke Maatjes,34164984,BV,Molukkenstraat 56 ,2022CD,HAARLEM,Molukkenstraat 56 ,2022CD,HAARLEM,,023-5265333',info@dikke-maatjes.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3427&currentPage=0,Kinderopvang Dikke Maatjes,01/01/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23609
382304731,2015,groen,Dikke Maatjes,12,Nee,01/01/2010,Molukkenstraat 56 ,2022CD,HAARLEM,4.6501729,52.4000311,Kinderopvang Dikke Maatjes,34164984,BV,Molukkenstraat 56 ,2022CD,HAARLEM,Molukkenstraat 56 ,2022CD,HAARLEM,,023-5265333',info@dikke-maatjes.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3427&currentPage=0,Kinderopvang Dikke Maatjes,01/01/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23609
408780228,2014,groen,Dikke Maatjes Kinderopvang Orionweg,60,Nee,01/01/2010,Orionweg 77 ,2024TB,HAARLEM,4.6372282,52.405856,Kinderopvang Dikke Maatjes,34164984,BV,Molukkenstraat 56 ,2022CD,HAARLEM,Orionweg 77 ,2024TB,HAARLEM,,023-5265333',info@dikke-maatjes.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3427&currentPage=0,Kinderopvang Dikke Maatjes,02/01/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23626
408780228,2015,groen,Dikke Maatjes Kinderopvang Orionweg,60,Nee,01/01/2010,Orionweg 77 ,2024TB,HAARLEM,4.6372282,52.405856,Kinderopvang Dikke Maatjes,34164984,BV,Molukkenstraat 56 ,2022CD,HAARLEM,Orionweg 77 ,2024TB,HAARLEM,,023-5265333',info@dikke-maatjes.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3427&currentPage=0,Kinderopvang Dikke Maatjes,02/01/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23626
392317047,2014,groen,Dikke Maatjes President Steijnstraat,24,Nee,05/01/2012,President Steijnstraat 95 ,2021VC,HAARLEM,4.644435,52.3932642,Kinderopvang Dikke Maatjes,34164984,BV,Molukkenstraat 56 ,2022CD,HAARLEM,Orionweg 77 ,2024TB,HAARLEM,Mw. S. Sopaheluwakan,023-5265333',info@dikkemaatjes.nl,http://www.dikkemaatjes.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3427&currentPage=0,Kinderopvang Dikke Maatjes,04/12/2012,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=89366
392317047,2015,groen,Dikke Maatjes President Steijnstraat,24,Nee,05/01/2012,President Steijnstraat 95 ,2021VC,HAARLEM,4.644435,52.3932642,Kinderopvang Dikke Maatjes,34164984,BV,Molukkenstraat 56 ,2022CD,HAARLEM,Orionweg 77 ,2024TB,HAARLEM,Mw. S. Sopaheluwakan,023-5265333',info@dikkemaatjes.nl,http://www.dikkemaatjes.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3427&currentPage=0,Kinderopvang Dikke Maatjes,04/12/2012,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=89366
165343102,2013,groen,EDEN,14,Nee,04/26/2011,Wagenweg 6 huis,2012ND,HAARLEM,4.6294649,52.3741343,Pappot-Mensink,34383326,Eenmanszaak,,,,Wagenweg 6 huis,2012ND,HAARLEM,C. Pappot-Mensink,023-5360010',info@edenkinderopvang.nl,http://www.edenkinderopvang.nl,,Mevrouw Caro Pappot-Mensink,03/14/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=75930
165343102,2014,groen,EDEN,14,Nee,04/26/2011,Wagenweg 6 huis,2012ND,HAARLEM,4.6294649,52.3741343,Pappot-Mensink,34383326,Eenmanszaak,,,,Wagenweg 6 huis,2012ND,HAARLEM,C. Pappot-Mensink,023-5360010',info@edenkinderopvang.nl,http://www.edenkinderopvang.nl,,Mevrouw Caro Pappot-Mensink,03/14/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=75930
165343102,2015,groen,EDEN,14,Nee,04/26/2011,Wagenweg 6 huis,2012ND,HAARLEM,4.6294649,52.3741343,Pappot-Mensink,34383326,Eenmanszaak,,,,Wagenweg 6 huis,2012ND,HAARLEM,C. Pappot-Mensink,023-5360010',info@edenkinderopvang.nl,http://www.edenkinderopvang.nl,,Mevrouw Caro Pappot-Mensink,03/14/2011,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=75930
803830099,2015,geel,Greiner,24,Nee,01/01/2010,Voorhelmstraat 25 ,2012ZM,HAARLEM,4.6369361,52.3738107,Brood & Spelen Kinderopvang B.V.,52990222,BV,Rode Kruislaan 1260 ,1111XB,Diemen,Willem Fenengastraat 4b ,1096BN,AMSTERDAM,I. Broijl,023-5407710',,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=12955&currentPage=0,Brood & Spelen Kinderopvang B.V.,12/01/2013,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23574
742997108,2014,groen,Hannie Schaft,45,Nee,01/01/2010,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,4.6447309,52.3744922,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Mevr. P.E.M. Massop,023-5334970',hsc@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23661
742997108,2015,groen,Hannie Schaft,45,Nee,01/01/2010,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,4.6447309,52.3744922,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Mevr. P.E.M. Massop,023-5334970',hsc@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23661
519747732,2013,groen,Hazeltje Kleverpark ,64,Ja,01/01/2010,Tetterodestraat 109 ,2023XM,HAARLEM,4.6261154,52.3922593,Kinderopvang Hazeltje Kleverpark B.V.,34235195,BV,Tetterodestraat 109 ,2023XM,HAARLEM,Tetterodestraat 109 ,2023XM,HAARLEM,,023-5279954',info@kinderopvanghazeltje.nl,http://www.kinderopvanghazeltje.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3423&currentPage=0,,12/07/2009,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23649
519747732,2014,groen,Hazeltje Kleverpark ,64,Ja,01/01/2010,Tetterodestraat 109 ,2023XM,HAARLEM,4.6261154,52.3922593,Kinderopvang Hazeltje Kleverpark B.V.,34235195,BV,Tetterodestraat 109 ,2023XM,HAARLEM,Tetterodestraat 109 ,2023XM,HAARLEM,,023-5279954',info@kinderopvanghazeltje.nl,http://www.kinderopvanghazeltje.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3423&currentPage=0,,12/07/2009,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23649
