"Gemeente";"CBS";"VPT-regio's 2014";"Inwoneraantal van regio"
"Capelle aan den IJssel";"0502";"Rotterdam";"1279414"
"Castricum";"0383";"Noord-Holland";"1506815"
"Coevorden";"0109";"Noord Nederland";"1719039"
"Cranendonck";"1706";"Oost-Brabant";"1398196"
"Cromstrijen";"0611";"Zuid-Holland-Zuid";"484986"
"Cuijk";"1684";"Oost-Brabant";"1398196"
"Culemborg";"0216";"Gelderland-Zuid";"543245"
"Dalfsen";"0148";"IJsselland";"514650"
"Dantumadiel";"1891";"Noord Nederland";"1719039"
"De Bilt";"0310";"Midden Nederland";"1911552"
"De Fryske Marren";"1940";"Noord Nederland";"1719039"
"De Marne";"1663";"Noord Nederland";"1719039"
"De Ronde Venen";"0736";"Midden Nederland";"1911552"
"De Wolden";"1690";"Noord Nederland";"1719039"
"Delft";"0503";"Haaglanden";"1061908"
"Delfzijl";"0010";"Noord Nederland";"1719039"
"Den Helder";"0400";"Noord-Holland";"1506815"
"Deurne";"0762";"Oost-Brabant";"1398196"
"Deventer";"0150";"IJsselland";"514650"
"Diemen";"0384";"Amsterdam";"1008808"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"Gelderland-Midden";"670924"
"Doetinchem";"0222";"Noord- en Oost-Gelderland";"812224"
"Dongen";"0766";"Zuid-West Nederland";"1471846"
"Dongeradeel";"0058";"Noord Nederland";"1719039"
"Dordrecht";"0505";"Zuid-Holland-Zuid";"484986"
"Drechterland";"0498";"Noord-Holland";"1506815"
"Drimmelen";"1719";"Zuid-West Nederland";"1471846"
"Dronten";"0303";"Midden Nederland";"1911552"
"Druten";"0225";"Gelderland-Zuid";"543245"
"Duiven";"0226";"Gelderland-Midden";"670924"
"Echt-Susteren";"1711";"Limburg";"1118054"
"Edam-Volendam";"0385";"Noord-Holland";"1506815"
"Ede";"0228";"Gelderland-Midden";"670924"
"Eemnes";"0317";"Midden Nederland";"1911552"
"Eemsmond";"1651";"Noord Nederland";"1719039"
"Eersel";"0770";"Oost-Brabant";"1398196"
"Eijsden-Margraten";"1903";"Limburg";"1118054"
"Eindhoven";"0772";"Oost-Brabant";"1398196"
"Elburg";"0230";"Noord- en Oost-Gelderland";"812224"
"Emmen";"0114";"Noord Nederland";"1719039"
"Enkhuizen";"0388";"Noord-Holland";"1506815"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Noord- en Oost-Gelderland";"812224"
"Ermelo";"0233";"Noord- en Oost-Gelderland";"812224"
"Etten-Leur";"0777";"Zuid-West Nederland";"1471846"
"Ferwerderadiel";"1722";"Noord Nederland";"1719039"
"Franekeradeel";"0070";"Noord Nederland";"1719039"
"Geertruidenberg";"0779";"Zuid-West Nederland";"1471846"
"Geldermalsen";"0236";"Gelderland-Zuid";"543245"
"Geldrop-Mierlo";"1771";"Oost-Brabant";"1398196"
"Gemert-Bakel";"1652";"Oost-Brabant";"1398196"
"Gennep";"0907";"Limburg";"1118054"
"Giessenlanden";"0689";"Zuid-Holland-Zuid";"484986"
"Gilze en Rijen";"0784";"Zuid-West Nederland";"1471846"
"Goeree-Overflakkee";"1924";"Rotterdam";"1279414"
"Goes";"0664";"Zuid-West Nederland";"1471846"
"Goirle";"0785";"Zuid-West Nederland";"1471846"
"Gooise Meren";"1942";"Midden Nederland";"1911552"
"Gorinchem";"0512";"Zuid-Holland-Zuid";"484986"
"Gouda";"0513";"Hollands-Midden";"774476"
"Grave";"0786";"Oost-Brabant";"1398196"
"'s-Gravenhage";"0518";"Haaglanden";"1061908"
"Groningen";"0014";"Noord Nederland";"1719039"
"Grootegast";"0015";"Noord Nederland";"1719039"
"Gulpen-Wittem";"1729";"Limburg";"1118054"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Oost-Brabant";"1398196"
"Haarlem";"0392";"Noord-Holland";"1506815"
"Haarlemmerliede en Spaarnwoude";"0393";"Noord-Holland";"1506815"
"Haarlemmermeer";"0394";"Noord-Holland";"1506815"
"Halderberge";"1655";"Zuid-West Nederland";"1471846"
"Hardenberg";"0160";"IJsselland";"514650"
"Harderwijk";"0243";"Noord- en Oost-Gelderland";"812224"
"Hardinxveld-Giessendam";"0523";"Zuid-Holland-Zuid";"484986"
"Haren";"0017";"Noord Nederland";"1719039"
"Harlingen";"0072";"Noord Nederland";"1719039"
"Hattem";"0244";"Noord- en Oost-Gelderland";"812224"
"Heemskerk";"0396";"Noord-Holland";"1506815"
"Heemstede";"0397";"Noord-Holland";"1506815"
"Heerde";"0246";"Noord- en Oost-Gelderland";"812224"
"Heerenveen";"0074";"Noord Nederland";"1719039"
"Heerhugowaard";"0398";"Noord-Holland";"1506815"
"Heerlen";"0917";"Limburg";"1118054"
"Heeze-Leende";"1658";"Oost-Brabant";"1398196"
"Heiloo";"0399";"Noord-Holland";"1506815"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Rotterdam";"1279414"
"Helmond";"0794";"Oost-Brabant";"1398196"
"Hendrik-Ido-Ambacht";"0531";"Zuid-Holland-Zuid";"484986"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Oost-Brabant";"1398196"
"het Bildt";"0063";"Noord Nederland";"1719039"
"Heumen";"0252";"Gelderland-Zuid";"543245"
"Heusden";"0797";"Oost-Brabant";"1398196"
"Hillegom";"0534";"Hollands-Midden";"774476"
"Hilvarenbeek";"0798";"Zuid-West Nederland";"1471846"
"Hilversum";"0402";"Midden Nederland";"1911552"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Noord-Holland";"1506815"
"Hoogeveen";"0118";"Noord Nederland";"1719039"
"Hoogezand-Sappemeer";"0018";"Noord Nederland";"1719039"
"Hoorn";"0405";"Noord-Holland";"1506815"
"Horst aan de Maas";"1507";"Limburg";"1118054"
"Houten";"0321";"Midden Nederland";"1911552"
"Huizen";"0406";"Midden Nederland";"1911552"
"Hulst";"0677";"Zuid-West Nederland";"1471846"
"IJsselstein";"0353";"Midden Nederland";"1911552"
"Kaag en Braassem";"1884";"Hollands-Midden";"774476"
"Kampen";"0166";"IJsselland";"514650"
"Kapelle";"0678";"Zuid-West Nederland";"1471846"
"Katwijk";"0537";"Hollands-Midden";"774476"
"Kerkrade";"0928";"Limburg";"1118054"
"Koggenland";"1598";"Noord-Holland";"1506815"
"Kollumerland en Nieuwkruisland";"0079";"Noord Nederland";"1719039"
"Korendijk";"0588";"Zuid-Holland-Zuid";"484986"
"Krimpen aan den IJssel";"0542";"Rotterdam";"1279414"
"Krimpenerwaard";"1931";"Hollands-Midden";"774476"
"Laarbeek";"1659";"Oost-Brabant";"1398196"
"Landerd";"1685";"Oost-Brabant";"1398196"
"Landgraaf";"0882";"Limburg";"1118054"
"Landsmeer";"0415";"Noord-Holland";"1506815"
"Langedijk";"0416";"Noord-Holland";"1506815"
"Lansingerland";"1621";"Rotterdam";"1279414"
"Laren";"0417";"Midden Nederland";"1911552"
"Leek";"0022";"Noord Nederland";"1719039"
"Leerdam";"0545";"Zuid-Holland-Zuid";"484986"
"Leeuwarden";"0080";"Noord Nederland";"1719039"
"Leeuwarderadeel";"0081";"Noord Nederland";"1719039"
"Leiden";"0546";"Hollands-Midden";"774476"
"Leiderdorp";"0547";"Hollands-Midden";"774476"
"Leidschendam-Voorburg";"1916";"Haaglanden";"1061908"
"Lelystad";"0995";"Midden Nederland";"1911552"
"Leudal";"1640";"Limburg";"1118054"
"Leusden";"0327";"Midden Nederland";"1911552"
"Lingewaal";"0733";"Gelderland-Zuid";"543245"
"Lingewaard";"1705";"Gelderland-Midden";"670924"
"Lisse";"0553";"Hollands-Midden";"774476"
"Littenseradiel";"0140";"Noord Nederland";"1719039"
"Lochem";"0262";"Noord- en Oost-Gelderland";"812224"
"Loon op Zand";"0809";"Zuid-West Nederland";"1471846"
"Lopik";"0331";"Midden Nederland";"1911552"
"Loppersum";"0024";"Noord Nederland";"1719039"
"Losser";"0168";"Twente";"626009"
"Maasdriel";"0263";"Gelderland-Zuid";"543245"
"Maasgouw";"1641";"Limburg";"1118054"
"Maassluis";"0556";"Rotterdam";"1279414"
"Maastricht";"0935";"Limburg";"1118054"
"Marum";"0025";"Noord Nederland";"1719039"
"Medemblik";"0420";"Noord-Holland";"1506815"
"Meerssen";"0938";"Limburg";"1118054"
"Menameradiel";"1908";"Noord Nederland";"1719039"
"Menterwolde";"1987";"Noord Nederland";"1719039"
"Meppel";"0119";"Noord Nederland";"1719039"
"Middelburg";"0687";"Zuid-West Nederland";"1471846"
"Midden-Delfland";"1842";"Haaglanden";"1061908"
"Midden-Drenthe";"1731";"Noord Nederland";"1719039"
"Mill en Sint Hubert";"0815";"Oost-Brabant";"1398196"
"Moerdijk";"1709";"Zuid-West Nederland";"1471846"
"Molenwaard";"1927";"Zuid-Holland-Zuid";"484986"
"Montferland";"1955";"Noord- en Oost-Gelderland";"812224"
"Montfoort";"0335";"Midden Nederland";"1911552"
"Mook en Middelaar";"0944";"Limburg";"1118054"
"Neder-Betuwe";"1740";"Gelderland-Zuid";"543245"
"Nederweert";"0946";"Limburg";"1118054"
"Neerijnen";"0304";"Gelderland-Zuid";"543245"
"Nieuwegein";"0356";"Midden Nederland";"1911552"
"Nieuwkoop";"0569";"Hollands-Midden";"774476"
"Nijkerk";"0267";"Gelderland-Midden";"670924"
"Nijmegen";"0268";"Gelderland-Zuid";"543245"
"Nissewaard";"1930";"Rotterdam";"1279414"
"Noord-Beveland";"1695";"Zuid-West Nederland";"1471846"
"Noordenveld";"1699";"Noord Nederland";"1719039"
"Noordoostpolder";"0171";"Midden Nederland";"1911552"
"Noordwijk";"0575";"Hollands-Midden";"774476"
"Noordwijkerhout";"0576";"Hollands-Midden";"774476"
"Nuenen, Gerwen en Nederwetten";"0820";"Oost-Brabant";"1398196"
"Nunspeet";"0302";"Noord- en Oost-Gelderland";"812224"
"Nuth";"0951";"Limburg";"1118054"
"Oegstgeest";"0579";"Hollands-Midden";"774476"
"Oirschot";"0823";"Oost-Brabant";"1398196"
"Oisterwijk";"0824";"Zuid-West Nederland";"1471846"
"Oldambt";"1895";"Noord Nederland";"1719039"
"Oldebroek";"0269";"Noord- en Oost-Gelderland";"812224"
"Oldenzaal";"0173";"Twente";"626009"
"Olst-Wijhe";"1773";"IJsselland";"514650"
"Ommen";"0175";"IJsselland";"514650"
"Onderbanken";"0881";"Limburg";"1118054"
"Oost Gelre";"1586";"Noord- en Oost-Gelderland";"812224"
"Oosterhout";"0826";"Zuid-West Nederland";"1471846"
"Ooststellingwerf";"0085";"Noord Nederland";"1719039"
"Oostzaan";"0431";"Noord-Holland";"1506815"
"Opmeer";"0432";"Noord-Holland";"1506815"
"Opsterland";"0086";"Noord Nederland";"1719039"
"Oss";"0828";"Oost-Brabant";"1398196"
"Oud-Beijerland";"0584";"Zuid-Holland-Zuid";"484986"
"Oude IJsselstreek";"1509";"Noord- en Oost-Gelderland";"812224"
"Ouder-Amstel";"0437";"Amsterdam";"1008808"
"Oudewater";"0589";"Midden Nederland";"1911552"
"Overbetuwe";"1734";"Gelderland-Midden";"670924"
"Papendrecht";"0590";"Zuid-Holland-Zuid";"484986"
"Peel en Maas";"1894";"Limburg";"1118054"
"Pekela";"0765";"Noord Nederland";"1719039"
"Pijnacker-Nootdorp";"1926";"Haaglanden";"1061908"
"Purmerend";"0439";"Noord-Holland";"1506815"
"Putten";"0273";"Noord- en Oost-Gelderland";"812224"
"Raalte";"0177";"IJsselland";"514650"
"Reimerswaal";"0703";"Zuid-West Nederland";"1471846"
"Renkum";"0274";"Gelderland-Midden";"670924"
"Renswoude";"0339";"Midden Nederland";"1911552"
"Reusel-De Mierden";"1667";"Oost-Brabant";"1398196"
"Rheden";"0275";"Gelderland-Midden";"670924"
"Rhenen";"0340";"Midden Nederland";"1911552"
"Ridderkerk";"0597";"Rotterdam";"1279414"
"Rijnwaarden";"0196";"Gelderland-Midden";"670924"
"Rijssen-Holten";"1742";"Twente";"626009"
"Rijswijk";"0603";"Haaglanden";"1061908"
"Roerdalen";"1669";"Limburg";"1118054"
"Roermond";"0957";"Limburg";"1118054"
"Roosendaal";"1674";"Zuid-West Nederland";"1471846"
"Rotterdam";"0599";"Rotterdam";"1279414"
"Rozendaal";"0277";"Gelderland-Midden";"670924"
"Rucphen";"0840";"Zuid-West Nederland";"1471846"
"Schagen";"0441";"Noord-Holland";"1506815"
"Scherpenzeel";"0279";"Gelderland-Midden";"670924"
"Schiedam";"0606";"Rotterdam";"1279414"
"Schiermonnikoog";"0088";"Noord Nederland";"1719039"
"Schijndel";"0844";"Oost-Brabant";"1398196"
"Schinnen";"0962";"Limburg";"1118054"
"Schouwen-Duiveland";"1676";"Zuid-West Nederland";"1471846"
"Simpelveld";"0965";"Limburg";"1118054"
"Sint Anthonis";"1702";"Oost-Brabant";"1398196"
"Sint-Michielsgestel";"0845";"Oost-Brabant";"1398196"
"Sint-Oedenrode";"0846";"Oost-Brabant";"1398196"
"Sittard-Geleen";"1883";"Limburg";"1118054"
"Sliedrecht";"0610";"Zuid-Holland-Zuid";"484986"
"Slochteren";"0040";"Noord Nederland";"1719039"
"Sluis";"1714";"Zuid-West Nederland";"1471846"
"Smallingerland";"0090";"Noord Nederland";"1719039"
"Soest";"0342";"Midden Nederland";"1911552"
"Someren";"0847";"Oost-Brabant";"1398196"
"Son en Breugel";"0848";"Oost-Brabant";"1398196"
"Stadskanaal";"0037";"Noord Nederland";"1719039"
"Staphorst";"0180";"IJsselland";"514650"
"Stede Broec";"0532";"Noord-Holland";"1506815"
"Steenbergen";"0851";"Zuid-West Nederland";"1471846"
"Steenwijkerland";"1708";"IJsselland";"514650"
"Stein";"0971";"Limburg";"1118054"
"Stichtse Vecht";"1904";"Midden Nederland";"1911552"
"Strijen";"0617";"Zuid-Holland-Zuid";"484986"
"Súdwest Fryslân";"1900";"Noord Nederland";"1719039"
"Ten Boer";"0009";"Noord Nederland";"1719039"
"Terneuzen";"0715";"Zuid-West Nederland";"1471846"
"Terschelling";"0093";"Noord Nederland";"1719039"
"Texel";"0448";"Noord-Holland";"1506815"
"Teylingen";"1525";"Hollands-Midden";"774476"
"Tholen";"0716";"Zuid-West Nederland";"1471846"
"Tiel";"0281";"Gelderland-Zuid";"543245"
"Tilburg";"0855";"Zuid-West Nederland";"1471846"
"Tubbergen";"0183";"Twente";"626009"
"Twenterand";"1700";"Twente";"626009"
"Tynaarlo";"1730";"Noord Nederland";"1719039"
"Tytsjerksteradiel";"0737";"Noord Nederland";"1719039"
"Uden";"0856";"Oost-Brabant";"1398196"
"Uitgeest";"0450";"Noord-Holland";"1506815"
"Uithoorn";"0451";"Amsterdam";"1008808"
"Urk";"0184";"Midden Nederland";"1911552"
"Utrecht";"0344";"Midden Nederland";"1911552"
"Utrechtse Heuvelrug";"1581";"Midden Nederland";"1911552"
"Vaals";"0981";"Limburg";"1118054"
"Valkenburg aan de Geul";"0994";"Limburg";"1118054"
"Valkenswaard";"0858";"Oost-Brabant";"1398196"
"Veendam";"0047";"Noord Nederland";"1719039"
"Veenendaal";"0345";"Midden Nederland";"1911552"
"Veere";"0717";"Zuid-West Nederland";"1471846"
"Veghel";"0860";"Oost-Brabant";"1398196"
"Veldhoven";"0861";"Oost-Brabant";"1398196"
"Velsen";"0453";"Noord-Holland";"1506815"
"Venlo";"0983";"Limburg";"1118054"
"Venray";"0984";"Limburg";"1118054"
"Vianen";"0620";"Midden Nederland";"1911552"
"Vlaardingen";"0622";"Rotterdam";"1279414"
"Vlagtwedde";"0048";"Noord Nederland";"1719039"
"Vlieland";"0096";"Noord Nederland";"1719039"
"Vlissingen";"0718";"Zuid-West Nederland";"1471846"
"Voerendaal";"0986";"Limburg";"1118054"
"Voorschoten";"0626";"Hollands-Midden";"774476"
"Voorst";"0285";"Noord- en Oost-Gelderland";"812224"
"Vught";"0865";"Oost-Brabant";"1398196"
"Waalre";"0866";"Oost-Brabant";"1398196"
"Waalwijk";"0867";"Zuid-West Nederland";"1471846"
"Waddinxveen";"0627";"Hollands-Midden";"774476"
"Wageningen";"0289";"Gelderland-Midden";"670924"
"Wassenaar";"0629";"Haaglanden";"1061908"
"Waterland";"0852";"Noord-Holland";"1506815"
"Weert";"0988";"Limburg";"1118054"
"Weesp";"0457";"Midden Nederland";"1911552"
"Werkendam";"0870";"Zuid-West Nederland";"1471846"
"West Maas en Waal";"0668";"Gelderland-Zuid";"543245"
"Westerveld";"1701";"Noord Nederland";"1719039"
"Westervoort";"0293";"Gelderland-Midden";"670924"
"Westland";"1783";"Haaglanden";"1061908"
"Weststellingwerf";"0098";"Noord Nederland";"1719039"
"Westvoorne";"0614";"Rotterdam";"1279414"
"Wierden";"0189";"Twente";"626009"
"Wijchen";"0296";"Gelderland-Zuid";"543245"
"Wijdemeren";"1696";"Midden Nederland";"1911552"
"Wijk bij Duurstede";"0352";"Midden Nederland";"1911552"
"Winsum";"0053";"Noord Nederland";"1719039"
"Winterswijk";"0294";"Noord- en Oost-Gelderland";"812224"
"Woensdrecht";"0873";"Zuid-West Nederland";"1471846"
"Woerden";"0632";"Midden Nederland";"1911552"
"Wormerland";"0880";"Noord-Holland";"1506815"
"Woudenberg";"0351";"Midden Nederland";"1911552"
"Woudrichem";"0874";"Zuid-West Nederland";"1471846"
"Zaanstad";"0479";"Noord-Holland";"1506815"
"Zaltbommel";"0297";"Gelderland-Zuid";"543245"
"Zandvoort";"0473";"Noord-Holland";"1506815"
"Zederik";"0707";"Zuid-Holland-Zuid";"484986"
"Zeewolde";"0050";"Midden Nederland";"1911552"
"Zeist";"0355";"Midden Nederland";"1911552"
"Zevenaar";"0299";"Gelderland-Midden";"670924"
"Zoetermeer";"0637";"Haaglanden";"1061908"
"Zoeterwoude";"0638";"Hollands-Midden";"774476"
"Zuidhorn";"0056";"Noord Nederland";"1719039"
"Zuidplas";"1892";"Hollands-Midden";"774476"
"Zundert";"0879";"Zuid-West Nederland";"1471846"
"Zutphen";"0301";"Noord- en Oost-Gelderland";"812224"
"Zwartewaterland";"1896";"IJsselland";"514650"
"Zwijndrecht";"0642";"Zuid-Holland-Zuid";"484986"
"Zwolle";"0193";"IJsselland";"514650"
