"Gemeente";"CBS";"Regionale Platforms Arbeidsmarkt";"Inwoneraantal van regio"
"Castricum";"0383";"Noord-Holland-Noord";"646991"
"Coevorden";"0109";"Zuid- en Midden-Drenthe";"332529"
"Cranendonck";"1706";"Weert";"86229"
"Cromstrijen";"0611";"Rijnmond";"1764400"
"Cuijk";"1684";"Noordoost-Brabant";"602575"
"Culemborg";"0216";"Rivierenland";"218950"
"Dalfsen";"0148";"IJssel en Vecht";"428642"
"Dantumadiel";"1891";"Fryslân";"646324"
"De Bilt";"0310";"Utrecht-Midden";"829979"
"De Fryske Marren";"1940";"Fryslân";"646324"
"De Marne";"1663";"Noord-Groningen";"105178"
"De Ronde Venen";"0736";"Zuidelijk Noord-Holland";"1911222"
"De Wolden";"1690";"Zuid- en Midden-Drenthe";"332529"
"Delft";"0503";"Haaglanden";"1061908"
"Delfzijl";"0010";"Noord-Groningen";"105178"
"Den Helder";"0400";"Noord-Holland-Noord";"646991"
"Deurne";"0762";"Zuidoost-Brabant";"731958"
"Deventer";"0150";"Stedendriehoek";"431599"
"Diemen";"0384";"Zuidelijk Noord-Holland";"1911222"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"IJssel en Rijn";"416502"
"Doetinchem";"0222";"Achterhoek";"297732"
"Dongen";"0766";"Midden-Brabant";"456009"
"Dongeradeel";"0058";"Fryslân";"646324"
"Dordrecht";"0505";"Rijnmond";"1764400"
"Drechterland";"0498";"Noord-Holland-Noord";"646991"
"Drimmelen";"1719";"West-Brabant";"678256"
"Dronten";"0303";"Flevoland";"401503"
"Druten";"0225";"Nijmegen";"332057"
"Duiven";"0226";"IJssel en Rijn";"416502"
"Echt-Susteren";"1711";"Roermond";"169764"
"Edam-Volendam";"0385";"Zuidelijk Noord-Holland";"1911222"
"Ede";"0228";"De Vallei";"342134"
"Eemnes";"0317";"Gooi en Vechtstreek";"255347"
"Eemsmond";"1651";"Noord-Groningen";"105178"
"Eersel";"0770";"Zuidoost-Brabant";"731958"
"Eijsden-Margraten";"1903";"Maastricht Mergelland";"207218"
"Eindhoven";"0772";"Zuidoost-Brabant";"731958"
"Elburg";"0230";"Noordwest-Veluwe";"168901"
"Emmen";"0114";"Zuid- en Midden-Drenthe";"332529"
"Enkhuizen";"0388";"Noord-Holland-Noord";"646991"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Stedendriehoek";"431599"
"Ermelo";"0233";"Noordwest-Veluwe";"168901"
"Etten-Leur";"0777";"West-Brabant";"678256"
"Ferwerderadiel";"1722";"Fryslân";"646324"
"Franekeradeel";"0070";"Fryslân";"646324"
"Geertruidenberg";"0779";"West-Brabant";"678256"
"Geldermalsen";"0236";"Rivierenland";"218950"
"Geldrop-Mierlo";"1771";"Zuidoost-Brabant";"731958"
"Gemert-Bakel";"1652";"Zuidoost-Brabant";"731958"
"Gennep";"0907";"Noord-Limburg";"272786"
"Giessenlanden";"0689";"Rijnmond";"1764400"
"Gilze en Rijen";"0784";"Midden-Brabant";"456009"
"Goeree-Overflakkee";"1924";"Rijnmond";"1764400"
"Goes";"0664";"Zeeland";"380717"
"Goirle";"0785";"Midden-Brabant";"456009"
"Gooise Meren";"1942";"Gooi en Vechtstreek";"255347"
"Gorinchem";"0512";"Rijnmond";"1764400"
"Gouda";"0513";"Rijn-Gouwe";"784397"
"Grave";"0786";"Noordoost-Brabant";"602575"
"'s-Gravenhage";"0518";"Haaglanden";"1061908"
"Groningen";"0014";"Centraal-Groningen";"470430"
"Grootegast";"0015";"Centraal-Groningen";"470430"
"Gulpen-Wittem";"1729";"Maastricht Mergelland";"207218"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Noordoost-Brabant";"602575"
"Haarlem";"0392";"Zuidelijk Noord-Holland";"1911222"
"Haarlemmerliede en Spaarnwoude";"0393";"Zuidelijk Noord-Holland";"1911222"
"Haarlemmermeer";"0394";"Zuidelijk Noord-Holland";"1911222"
"Halderberge";"1655";"West-Brabant";"678256"
"Hardenberg";"0160";"IJssel en Vecht";"428642"
"Harderwijk";"0243";"Noordwest-Veluwe";"168901"
"Hardinxveld-Giessendam";"0523";"Rijnmond";"1764400"
"Haren";"0017";"Centraal-Groningen";"470430"
"Harlingen";"0072";"Fryslân";"646324"
"Hattem";"0244";"IJssel en Vecht";"428642"
"Heemskerk";"0396";"Zuidelijk Noord-Holland";"1911222"
"Heemstede";"0397";"Zuidelijk Noord-Holland";"1911222"
"Heerde";"0246";"IJssel en Vecht";"428642"
"Heerenveen";"0074";"Fryslân";"646324"
"Heerhugowaard";"0398";"Noord-Holland-Noord";"646991"
"Heerlen";"0917";"Parkstad Limburg";"246735"
"Heeze-Leende";"1658";"Zuidoost-Brabant";"731958"
"Heiloo";"0399";"Noord-Holland-Noord";"646991"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Rijnmond";"1764400"
"Helmond";"0794";"Zuidoost-Brabant";"731958"
"Hendrik-Ido-Ambacht";"0531";"Rijnmond";"1764400"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Noordoost-Brabant";"602575"
"het Bildt";"0063";"Fryslân";"646324"
"Heumen";"0252";"Nijmegen";"332057"
"Heusden";"0797";"Midden-Brabant";"456009"
"Hillegom";"0534";"Rijn-Gouwe";"784397"
"Hilvarenbeek";"0798";"Midden-Brabant";"456009"
"Hilversum";"0402";"Gooi en Vechtstreek";"255347"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Noord-Holland-Noord";"646991"
"Hoogeveen";"0118";"Zuid- en Midden-Drenthe";"332529"
"Hoogezand-Sappemeer";"0018";"Centraal-Groningen";"470430"
"Hoorn";"0405";"Noord-Holland-Noord";"646991"
"Horst aan de Maas";"1507";"Noord-Limburg";"272786"
"Houten";"0321";"Utrecht-Midden";"829979"
"Huizen";"0406";"Gooi en Vechtstreek";"255347"
"Hulst";"0677";"Zeeland";"380717"
"IJsselstein";"0353";"Utrecht-Midden";"829979"
"Kaag en Braassem";"1884";"Rijn-Gouwe";"784397"
"Kampen";"0166";"IJssel en Vecht";"428642"
"Kapelle";"0678";"Zeeland";"380717"
"Katwijk";"0537";"Rijn-Gouwe";"784397"
"Kerkrade";"0928";"Parkstad Limburg";"246735"
"Koggenland";"1598";"Noord-Holland-Noord";"646991"
"Kollumerland en Nieuwkruisland";"0079";"Fryslân";"646324"
"Korendijk";"0588";"Rijnmond";"1764400"
"Krimpen aan den IJssel";"0542";"Rijnmond";"1764400"
"Krimpenerwaard";"1931";"Rijn-Gouwe";"784397"
"Laarbeek";"1659";"Zuidoost-Brabant";"731958"
"Landerd";"1685";"Noordoost-Brabant";"602575"
"Landgraaf";"0882";"Parkstad Limburg";"246735"
"Landsmeer";"0415";"Zuidelijk Noord-Holland";"1911222"
"Langedijk";"0416";"Noord-Holland-Noord";"646991"
"Lansingerland";"1621";"Rijnmond";"1764400"
"Laren";"0417";"Gooi en Vechtstreek";"255347"
"Leek";"0022";"Centraal-Groningen";"470430"
"Leerdam";"0545";"Rijnmond";"1764400"
"Leeuwarden";"0080";"Fryslân";"646324"
"Leeuwarderadeel";"0081";"Fryslân";"646324"
"Leiden";"0546";"Rijn-Gouwe";"784397"
"Leiderdorp";"0547";"Rijn-Gouwe";"784397"
"Leidschendam-Voorburg";"1916";"Haaglanden";"1061908"
"Lelystad";"0995";"Flevoland";"401503"
"Leudal";"1640";"Roermond";"169764"
"Leusden";"0327";"Eemland";"284500"
"Lingewaal";"0733";"Rivierenland";"218950"
"Lingewaard";"1705";"IJssel en Rijn";"416502"
"Lisse";"0553";"Rijn-Gouwe";"784397"
"Littenseradiel";"0140";"Fryslân";"646324"
"Lochem";"0262";"Stedendriehoek";"431599"
"Loon op Zand";"0809";"Midden-Brabant";"456009"
"Lopik";"0331";"Utrecht-Midden";"829979"
"Loppersum";"0024";"Noord-Groningen";"105178"
"Losser";"0168";"Twente";"626009"
"Maasdriel";"0263";"Rivierenland";"218950"
"Maasgouw";"1641";"Roermond";"169764"
"Maassluis";"0556";"Rijnmond";"1764400"
"Maastricht";"0935";"Maastricht Mergelland";"207218"
"Marum";"0025";"Centraal-Groningen";"470430"
"Medemblik";"0420";"Noord-Holland-Noord";"646991"
"Meerssen";"0938";"Maastricht Mergelland";"207218"
"Menameradiel";"1908";"Fryslân";"646324"
"Menterwolde";"1987";"Oost-Groningen";"164578"
"Meppel";"0119";"Zuid- en Midden-Drenthe";"332529"
"Middelburg";"0687";"Zeeland";"380717"
"Midden-Delfland";"1842";"Haaglanden";"1061908"
"Midden-Drenthe";"1731";"Zuid- en Midden-Drenthe";"332529"
"Mill en Sint Hubert";"0815";"Noordoost-Brabant";"602575"
"Moerdijk";"1709";"West-Brabant";"678256"
"Molenwaard";"1927";"Rijnmond";"1764400"
"Montferland";"1955";"Achterhoek";"297732"
"Montfoort";"0335";"Utrecht-Midden";"829979"
"Mook en Middelaar";"0944";"Nijmegen";"332057"
"Neder-Betuwe";"1740";"Rivierenland";"218950"
"Nederweert";"0946";"Weert";"86229"
"Neerijnen";"0304";"Rivierenland";"218950"
"Nieuwegein";"0356";"Utrecht-Midden";"829979"
"Nieuwkoop";"0569";"Rijn-Gouwe";"784397"
"Nijkerk";"0267";"De Vallei";"342134"
"Nijmegen";"0268";"Nijmegen";"332057"
"Nissewaard";"1930";"Rijnmond";"1764400"
"Noord-Beveland";"1695";"Zeeland";"380717"
"Noordenveld";"1699";"Centraal-Groningen";"470430"
"Noordoostpolder";"0171";"Flevoland";"401503"
"Noordwijk";"0575";"Rijn-Gouwe";"784397"
"Noordwijkerhout";"0576";"Rijn-Gouwe";"784397"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuidoost-Brabant";"731958"
"Nunspeet";"0302";"Noordwest-Veluwe";"168901"
"Nuth";"0951";"Parkstad Limburg";"246735"
"Oegstgeest";"0579";"Rijn-Gouwe";"784397"
"Oirschot";"0823";"Zuidoost-Brabant";"731958"
"Oisterwijk";"0824";"Midden-Brabant";"456009"
"Oldambt";"1895";"Oost-Groningen";"164578"
"Oldebroek";"0269";"Noordwest-Veluwe";"168901"
"Oldenzaal";"0173";"Twente";"626009"
"Olst-Wijhe";"1773";"Stedendriehoek";"431599"
"Ommen";"0175";"IJssel en Vecht";"428642"
"Onderbanken";"0881";"Parkstad Limburg";"246735"
"Oost Gelre";"1586";"Achterhoek";"297732"
"Oosterhout";"0826";"West-Brabant";"678256"
"Ooststellingwerf";"0085";"Fryslân";"646324"
"Oostzaan";"0431";"Zuidelijk Noord-Holland";"1911222"
"Opmeer";"0432";"Noord-Holland-Noord";"646991"
"Opsterland";"0086";"Fryslân";"646324"
"Oss";"0828";"Noordoost-Brabant";"602575"
"Oud-Beijerland";"0584";"Rijnmond";"1764400"
"Oude IJsselstreek";"1509";"Achterhoek";"297732"
"Ouder-Amstel";"0437";"Zuidelijk Noord-Holland";"1911222"
"Oudewater";"0589";"Rijn-Gouwe";"784397"
"Overbetuwe";"1734";"IJssel en Rijn";"416502"
"Papendrecht";"0590";"Rijnmond";"1764400"
"Peel en Maas";"1894";"Noord-Limburg";"272786"
"Pekela";"0765";"Oost-Groningen";"164578"
"Pijnacker-Nootdorp";"1926";"Haaglanden";"1061908"
"Purmerend";"0439";"Zuidelijk Noord-Holland";"1911222"
"Putten";"0273";"Noordwest-Veluwe";"168901"
"Raalte";"0177";"IJssel en Vecht";"428642"
"Reimerswaal";"0703";"Zeeland";"380717"
"Renkum";"0274";"IJssel en Rijn";"416502"
"Renswoude";"0339";"De Vallei";"342134"
"Reusel-De Mierden";"1667";"Zuidoost-Brabant";"731958"
"Rheden";"0275";"IJssel en Rijn";"416502"
"Rhenen";"0340";"De Vallei";"342134"
"Ridderkerk";"0597";"Rijnmond";"1764400"
"Rijnwaarden";"0196";"IJssel en Rijn";"416502"
"Rijssen-Holten";"1742";"Twente";"626009"
"Rijswijk";"0603";"Haaglanden";"1061908"
"Roerdalen";"1669";"Roermond";"169764"
"Roermond";"0957";"Roermond";"169764"
"Roosendaal";"1674";"West-Brabant";"678256"
"Rotterdam";"0599";"Rijnmond";"1764400"
"Rozendaal";"0277";"IJssel en Rijn";"416502"
"Rucphen";"0840";"West-Brabant";"678256"
"Schagen";"0441";"Noord-Holland-Noord";"646991"
"Scherpenzeel";"0279";"De Vallei";"342134"
"Schiedam";"0606";"Rijnmond";"1764400"
"Schiermonnikoog";"0088";"Fryslân";"646324"
"Schijndel";"0844";"Noordoost-Brabant";"602575"
"Schinnen";"0962";"Westelijke Mijnstreek";"148087"
"Schouwen-Duiveland";"1676";"Zeeland";"380717"
"Simpelveld";"0965";"Parkstad Limburg";"246735"
"Sint Anthonis";"1702";"Noordoost-Brabant";"602575"
"Sint-Michielsgestel";"0845";"Noordoost-Brabant";"602575"
"Sint-Oedenrode";"0846";"Noordoost-Brabant";"602575"
"Sittard-Geleen";"1883";"Westelijke Mijnstreek";"148087"
"Sliedrecht";"0610";"Rijnmond";"1764400"
"Slochteren";"0040";"Oost-Groningen";"164578"
"Sluis";"1714";"Zeeland";"380717"
"Smallingerland";"0090";"Fryslân";"646324"
"Soest";"0342";"Eemland";"284500"
"Someren";"0847";"Zuidoost-Brabant";"731958"
"Son en Breugel";"0848";"Zuidoost-Brabant";"731958"
"Stadskanaal";"0037";"Oost-Groningen";"164578"
"Staphorst";"0180";"IJssel en Vecht";"428642"
"Stede Broec";"0532";"Noord-Holland-Noord";"646991"
"Steenbergen";"0851";"West-Brabant";"678256"
"Steenwijkerland";"1708";"IJssel en Vecht";"428642"
"Stein";"0971";"Westelijke Mijnstreek";"148087"
"Stichtse Vecht";"1904";"Utrecht-Midden";"829979"
"Strijen";"0617";"Rijnmond";"1764400"
"Súdwest Fryslân";"1900";"Fryslân";"646324"
"Ten Boer";"0009";"Noord-Groningen";"105178"
"Terneuzen";"0715";"Zeeland";"380717"
"Terschelling";"0093";"Fryslân";"646324"
"Texel";"0448";"Noord-Holland-Noord";"646991"
"Teylingen";"1525";"Rijn-Gouwe";"784397"
"Tholen";"0716";"Zeeland";"380717"
"Tiel";"0281";"Rivierenland";"218950"
"Tilburg";"0855";"Midden-Brabant";"456009"
"Tubbergen";"0183";"Twente";"626009"
"Twenterand";"1700";"Twente";"626009"
"Tynaarlo";"1730";"Centraal-Groningen";"470430"
"Tytsjerksteradiel";"0737";"Fryslân";"646324"
"Uden";"0856";"Noordoost-Brabant";"602575"
"Uitgeest";"0450";"Zuidelijk Noord-Holland";"1911222"
"Uithoorn";"0451";"Zuidelijk Noord-Holland";"1911222"
"Urk";"0184";"Flevoland";"401503"
"Utrecht";"0344";"Utrecht-Midden";"829979"
"Utrechtse Heuvelrug";"1581";"Utrecht-Midden";"829979"
"Vaals";"0981";"Maastricht Mergelland";"207218"
"Valkenburg aan de Geul";"0994";"Maastricht Mergelland";"207218"
"Valkenswaard";"0858";"Zuidoost-Brabant";"731958"
"Veendam";"0047";"Oost-Groningen";"164578"
"Veenendaal";"0345";"De Vallei";"342134"
"Veere";"0717";"Zeeland";"380717"
"Veghel";"0860";"Noordoost-Brabant";"602575"
"Veldhoven";"0861";"Zuidoost-Brabant";"731958"
"Velsen";"0453";"Zuidelijk Noord-Holland";"1911222"
"Venlo";"0983";"Noord-Limburg";"272786"
"Venray";"0984";"Noord-Limburg";"272786"
"Vianen";"0620";"Utrecht-Midden";"829979"
"Vlaardingen";"0622";"Rijnmond";"1764400"
"Vlagtwedde";"0048";"Oost-Groningen";"164578"
"Vlieland";"0096";"Fryslân";"646324"
"Vlissingen";"0718";"Zeeland";"380717"
"Voerendaal";"0986";"Parkstad Limburg";"246735"
"Voorschoten";"0626";"Rijn-Gouwe";"784397"
"Voorst";"0285";"Stedendriehoek";"431599"
"Vught";"0865";"Noordoost-Brabant";"602575"
"Waalre";"0866";"Zuidoost-Brabant";"731958"
"Waalwijk";"0867";"Midden-Brabant";"456009"
"Waddinxveen";"0627";"Rijn-Gouwe";"784397"
"Wageningen";"0289";"De Vallei";"342134"
"Wassenaar";"0629";"Haaglanden";"1061908"
"Waterland";"0852";"Zuidelijk Noord-Holland";"1911222"
"Weert";"0988";"Weert";"86229"
"Weesp";"0457";"Gooi en Vechtstreek";"255347"
"Werkendam";"0870";"West-Brabant";"678256"
"West Maas en Waal";"0668";"Nijmegen";"332057"
"Westerveld";"1701";"Zuid- en Midden-Drenthe";"332529"
"Westervoort";"0293";"IJssel en Rijn";"416502"
"Westland";"1783";"Haaglanden";"1061908"
"Weststellingwerf";"0098";"Fryslân";"646324"
"Westvoorne";"0614";"Rijnmond";"1764400"
"Wierden";"0189";"Twente";"626009"
"Wijchen";"0296";"Nijmegen";"332057"
"Wijdemeren";"1696";"Gooi en Vechtstreek";"255347"
"Wijk bij Duurstede";"0352";"Utrecht-Midden";"829979"
"Winsum";"0053";"Noord-Groningen";"105178"
"Winterswijk";"0294";"Achterhoek";"297732"
"Woensdrecht";"0873";"West-Brabant";"678256"
"Woerden";"0632";"Utrecht-Midden";"829979"
"Wormerland";"0880";"Zuidelijk Noord-Holland";"1911222"
"Woudenberg";"0351";"Eemland";"284500"
"Woudrichem";"0874";"West-Brabant";"678256"
"Zaanstad";"0479";"Zuidelijk Noord-Holland";"1911222"
"Zaltbommel";"0297";"Rivierenland";"218950"
"Zandvoort";"0473";"Zuidelijk Noord-Holland";"1911222"
"Zederik";"0707";"Rijnmond";"1764400"
"Zeewolde";"0050";"Flevoland";"401503"
"Zeist";"0355";"Utrecht-Midden";"829979"
"Zevenaar";"0299";"IJssel en Rijn";"416502"
"Zoetermeer";"0637";"Haaglanden";"1061908"
"Zoeterwoude";"0638";"Rijn-Gouwe";"784397"
"Zuidhorn";"0056";"Centraal-Groningen";"470430"
"Zuidplas";"1892";"Rijn-Gouwe";"784397"
"Zundert";"0879";"West-Brabant";"678256"
"Zutphen";"0301";"Stedendriehoek";"431599"
"Zwartewaterland";"1896";"IJssel en Vecht";"428642"
"Zwijndrecht";"0642";"Rijnmond";"1764400"
"Zwolle";"0193";"IJssel en Vecht";"428642"
