Naam,Afkorting,Straat,Postcode,Plaats,Bezoekadres straat,Bezoekadres postcode,Bezoekadres plaats,Telefoon,E-mail,Internetsite,Grondslag,Link wettenbank,Instellingsmotief,Relatie met ministerie,Taken & bevoegdheden,Kaderwet van toepassing,Afwijkende bepalingen artikel,Afwijkende bepalingen,Jaar van oprichting,Aantekening,Personeelsomvang FTE,Personeelsomvang toelichting,Geldende CAO,Aangesloten bij pensioenfonds,Datum laatste evaluatieverslag,Kamerstuknummer laatste evaluatieverslag,Deeltijd,Rechtsvorm,Type ZBO,Mutatiedatum
Centrale Commissie Mensgebonden Onderzoek,CCMO,Postbus 16302,2500 BH,Den Haag,Parnassusplein 5,2511 VX,Den Haag,070 3406700,ccmo@ccmo.nl,http://www.ccmo.nl/,"Wet medisch-wetenschappelijk onderzoek met mensen, Staatsblad 1998, 161, inwerkingtreding 1 december 1999, artikel 14 en volgende.",[Wet medisch-wetenschappelijk onderzoek met mensen](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20MEDISCH-WETENSCHAPPELIJK%20ONDERZOEK%20MET%20MENSEN),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Houdt toezicht op de toetsing door medisch-ethische commissies (METC's) van medisch-wetenschappelijk onderzoek met mensen in Nederland
 
 * Toetst vormen van onderzoek die artikel 2 Wet medisch-wetenschappelijk onderzoek met mensen aanwijst
 
 * Behandelt administratieve beroep van belanghebbenden tegen oordelen van medisch-ethische toetsingscommissie.",Ja,22,"De genoemde afwijkende bepaling geldt voor besluiten ter uitvoering van de Wet Medisch-wetenschappelijk onderzoek met mensen en de artikelen 10,16 en 19 Embryowet.",1999,,,,CAO Rijk,ABP,10/02/15,TK 29963 nr. 13,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
Centrale commissie voor de statistiek,CCS,Postbus 24500,2490 HA,Den Haag,Henri Faasdreef 312,2492 JP,Den Haag,070 337 38 00,infoservice@cbs.nl,http://www.cbs.nl,"Wet op het Centraal bureau voor de statistiek, Staatsblad 2003, nummer 516",[Wet op het Centraal bureau voor de statistiek](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20Centraal%20bureau%20voor%20de%20statistiek/article=2),,Ministerie van Economische Zaken (EZ),"* De CCS heeft tot taak het bevorderen van de statistische informatievoorziening van overheidswege en van de nauwkeurigheid en volledigheid van de openbaar te maken statistieken,
 
 * het beoordelen van het door de DG opgestelde meerjarenprogramma en werkprogramma,
 
 * het erop toezien dat op de hoeveelheid administratieve lasten voor ondernemingen en instellingen bij de verwerving van gegevens zo laag mogelijk zijn,
 
 * het erop toezien dat de door het Centraal Bureau voor de Statistiek (CBS) voor derden verrichte statistische werkzaamheden niet leiden tot concurrentievervalsing
 
 * en het toezicht op de uitvoering door de Directeur-generaal van de bevoegdheid tot het beschikbaar stellen van gegevensverzamelingen ten behoeve van statistisch of wetenschappelijk onderzoek.",Ja,,,1899,"Behalve de Centrale commissie voor de statistiek (CCS) heeft het CBS nog een bestuursorgaan, te weten de directeur-generaal van de statistiek (DG CBS). Bij de Tweede Kamer is een wetsvoorstel aanhangig dat voorziet in de opheffing van de CCS (Kamerstukken 34 248). De achtergrond hiervan wordt gevormd door de herpositionering van zbo s zoals aangekondigd in het regeerakkoord  Bruggen slaan (oktober 2012) en door de uitwerking daarvan in het kader van de Hervormingsagenda rijksdienst. Voor het CBS heeft het kabinet geconcludeerd dat de constructie dat het ene zbo (de CCS) toezicht houdt op het andere zbo (de DG CBS) een onnodig zware inrichting is en dat het daarom gewenst is hier één zbo van te maken. Indien de Tweede en Eerste Kamer het wetsvoorstel aanvaarden, zal de opheffing vermoedelijk zijn beslag krijgen met ingang van 1 juli 2016.",0,(2014-12-31),CAO Rijk,ABP,22/01/12,TK 25268 nr. 74,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,05/08/16
CIZ,,Postbus 2690,3500 GR,Utrecht,Europalaan 100,3526 KS,Utrecht,088 7891000,info@ciz.nl,http://www.ciz.nl,"Wet langdurige zorg, artikel 7.1.1.","[Wet langdurige zorg, artikel 7.1.1.](http://wetten.overheid.nl/BWBR0035917/Hoofdstuk7/1/Artikel711/)",,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)",Het CIZ geeft indicatiebesluiten af waarmee verzekerden toegang kunnen krijgen tot Wlz-zorg.,Ja,15,,2015,Het CIZ is de opvolger van het in 2005 opgerichte privaatrechtelijke zbo Centrum Indicatiestelling Zorg.,697,(2015-01-01),Eigen CAO,Pensioen via PFZW,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
College bescherming persoonsgegevens,CBP / Autoriteit Persoonsgegevens,Postbus 93374,2509 AJ,Den Haag,Prins Clauslaan 60,2595 AJ,Den Haag,070 8888500,info@autoriteitpersoonsgegevens.nl,https://www.autoriteitpersoonsgegevens.nl/,"Wet bescherming persoonsgegevens, artikel 51, eerste lid",[Wet bescherming persoonsgegevens](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20BESCHERMING%20PERSOONSGEGEVENS),,Ministerie van Veiligheid en Justitie (VenJ),"* Toezicht houden op de verwerking van persoonsgegevens overeenkomstig het bij en krachtens de wet bepaalde;
 
 * toezicht houden op de verwerking van persoonsgegevens in Nederland, wanneer de verwerking plaatsvindt overeenkomstig het recht van een ander land van de Europese Unie;
 
 * adviseren over voorstellen van wet en ontwerpen van algemene maatregelen van bestuur die geheel of voor een belangrijk deel betrekking hebben op de verwerking van persoonsgegevens;
 
 * toetsen van gedragscodes;
 
 * voorafgaand onderzoek naar verwerkingen met bijzondere risico's;
 
 * adviseren over vergunningen voor het doorgeven van persoonsgegevens naar landen buiten de Europese Unie;
 
 * behandelen van klachten en verzoeken van betrokkenen en andere belanghebbenden;
 
 * diverse taken ingevolge de Wet politiegegevens en andere bijzondere wetgeving;
 
 * diverse internationaalrechtelijke taken, die verband houden met het voorgaande.",Ja,"12,20,21,22,23",Artikel 20 is niet van toepassing als het College de informatie van derden heeft verkregen onder de voorwaarde dat het geheime karakter daarvan wordt gehandhaafd. Artikel 23 is slechts toepasbaar op het financiële beheer en de administratieve organisatie.,2000,Artikel 51 lid 4 van de wet bescherming persoonsgegevens luidt: Het College wordt in het maatschappelijk verkeer aangeduid als: Autoriteit persoonsgegevens.,"80,5",-2015,CAO Rijk,ABP,,,nee,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
College bouw zorginstellingen,CBZ,Postbus 3056,3502 GB,Utrecht,Churchilllaan 11,3527 GV,Utrecht,030 2983100,cbz@bouwcollege.nl,http://www.bouwcollege.nl/,Wet toelating zorginstellingen artikel 19,[Wet toelating zorginstellingen](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20toelating%20zorginstellingen/article=19),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","De Minister van Volksgezondheid, Welzijn en Sport op zijn verzoek of uit eigen beweging van advies te dienen met betrekking tot de uitvoering van de Wet toelating zorginstellingen (WTZi) en met betrekking tot andere, de doelmatigheid van ziekenhuisvoorzieningen betreffende, zaken.",Nee,,,1972,Is sinds 1 januari 2009 in liquidatie. Een gedeelte van CBZ is ondergebracht bij TNO Bouw en Zorg.,,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,17/08/16
College gerechtelijk deskundigen,NRGD,Postbus 12080,3501 AB,Utrecht,Catharijnesingel 56,3511 GE,Utrecht,030 2567040,deskundigenregister@nrgd.nl,http://www.nrgd.nl,Wetboek van StrafvorderingArtikel 51k en besluit register deskundige in strafzaken,"</br> [Wetboek van Strafvordering](http://wetten.overheid.nl/cgi-bin/deeplink/law1/bwbid=BWBR0001903/article=51)
 </br> [Besluit register deskundige in strafzaken](http://wetten.overheid.nl/BWBR0026190/)",,Ministerie van Veiligheid en Justitie (VenJ),"* Het overeenkomstig het bepaalde in de artikelen 12 tot en met 14 en 17 tot en met 19 Brdis beslissen op een aanvraag tot inschrijving of tot herinschrijving en overeenkomstig het bepaalde in artikel 18 Brdis over de eventuele doorhaling uit het register, het doen inrichten en onderhouden van het register waarin die beslissingen worden verwerkt alsmede het geven van aanwijzingen daaromtrent aan het bureau.
 
 * Te bevorderen dat per deskundigheidsgebied specifieke eisen worden opgesteld ter nadere uitwerking van de in artikel 12, tweede lid, Brdis bedoelde eisen. 
 
 * Het vaststellen van een gedragscode die de gedragsregels bevat waaraan de geregistreerde deskundige zich dient te houden. 
 
 * Het in overleg met de secretaris vaststellen van de door het bureau ter ondersteuning van de werkzaamheden van het College te verrichten activiteiten.",Ja,,,2010,Het Nederlands Register Gerechtelijk Deskundigen (NRGD) wordt bestuurd door het onafhankelijke College gerechtelijk deskundigen. Het College is een zelfstandig bestuursorgaan (ZBO.),8,(2015-05-13),CAO Rijk,ABP,09/04/15,TK 27279 nr. 230,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,01/09/16
College sanering zorginstellingen,CSZ,Postbus 3148,3502 GC,Utrecht,Newtonlaan 1-41,3584 BX,Utrecht,030 2971200,info@collegesanering.nl,http://www.collegesanering.nl/,"Wet toelating zorginstellingen, artikel 32",[Wet toelating zorginstellingen](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20toelating%20zorginstellingen/article=32),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Verstrekken van subsidie, die geheel of gedeeltelijk voorziet in de financiële gevolgen van (onder andere) (gedeeltelijke) sluiting van zorginstellingen en toezicht houden op de sanering;
 
 * beslissen dat goedkeuring is vereist voor verhuur, vervreemding of aan enig beperkt recht onderwerpen van gebouwen of delen daarvan, die blijvend niet meer voor de zorginstelling zullen worden gebruikt. Hierbij beslissen omtrent storting boekresultaat in het Algemeen Fonds Bijzondere Ziektekosten;
 
 * verstrekken van subsidie bij wijziging of opheffing van de vestigingsplaats van een centrale post voor het ambulancevervoer, alsmede sanering van ambulancevervoer ingeval een vergunning is ingetrokken;
 
 * op verzoek van de Minister van Volksgezondheid, Welzijn en Sport bijzondere opdrachten uitvoeren.",Nee,,,1983,,,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
College ter Beoordeling van Geneesmiddelen,CBG,Postbus 8275,3503 RG,Utrecht,Graadt van Roggenweg 500,3531 AH,Utrecht,088 2248000,info@cbg-meb.nl,http://www.cbg-meb.nl,"Geneesmiddelenwet, artikel 2.",[Geneesmiddelenwet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Geneesmiddelenwet/article=2),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","Het College ter Beoordeling van Geneesmiddelen is verantwoordelijk voor het toelaten van geneesmiddelen, beslist over de afleverstatus en is in Nederland belast met de geneesmiddelenbewaking, een en ander overeenkomstig bij of krachtens Europese richtlijnen en de Geneesmiddelenwet gegeven voorschriften.",Ja,,,1964,,175,(Ondersteuning door aCBG 2015-01-01),,,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
College van toezicht collectieve beheersorganisaties auteurs- en naburige rechten,CvTA,Postbus 15072,1001 MB,Amsterdam,Herengracht 566,1017 CH,Amsterdam,020 3030261,info@cvta.nl,http://www.cvta.nl/,"Wet toezicht collectieve beheersorganisaties auteurs- en naburige rechten, artikel 2",[Wet toezicht en geschillenbeslechting collectieve beheersorganisaties auteurs- en naburige rechten](http://wetten.overheid.nl/BWBR0014779/),,Ministerie van Veiligheid en Justitie (VenJ),"Uitoefenen van toezicht op collectieve beheersorganisaties, die door de Minister zijn aangewezen om vergoedingen op gezag van Auteurswet of de Wet op de Naburige Rechten te innen en te verdelen.",Ja,"18,21,22",,2003,,"2,5",(2014-12-31),Geen CAO,Geen pensioenfonds,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,15/08/16
College voor de Rechten van de Mens,,Postbus 16001,3500 DA,Utrecht,Kleinesingel 1-3,3572 CG,Utrecht,030 8883888,info@mensenrechten.nl,http://www.mensenrechten.nl/,"Wet College voor de rechten van de mens, artikel 1",[Wet College voor de rechten van de mens](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20COLLEGE%20VOOR%20DE%20RECHTEN%20VAN%20DE%20MENS),,Ministerie van Veiligheid en Justitie (VenJ),"* Het College doet onderzoek naar mogelijke (stelselmatige) schendingen van mensenrechten of naar het niveau van bescherming van deze rechten op een specifiek terrein. Het College zal onafhankelijk onderzoek doen en hierover rapporteren. Het College kent drie typen onderzoek:
 
 * Onderzoek naar de bescherming van de rechten van de mens. Op basis van de resultaten van dit onderzoek kiest het College voor de inzet van verschillende instrumenten, bijvoorbeeld het geven van advies over wet- en regelgeving of het geven van voorlichting aan specifieke doelgroepen.
 
 * Het College onderzoekt of een onderscheid is of wordt gemaakt als bedoeld in de wetgeving gelijke behandeling. Dit onderzoek leidt tot een oordeel en is daarmee van een andere aard dan het eerstgenoemde onderzoek. Het is niet de taak van het College om individuele klachten over de schendingen van andere mensenrechten dan gelijke behandeling te behandelen. Het College kan personen met individuele klachten doorverwijzen naar de geëigende instanties.
 
 * Het College onderzoekt uit eigen beweging of stelselmatig onderscheid wordt gemaakt. Ook dit onderzoek is beperkt tot gelijke behandeling en leidt tot een oordeel. Bovendien moet er hierbij sprake zijn van een vermoeden tot stelselmatig onderscheid.
 
 * Daarnaast zijn er de volgende taken: Het rapporteren over en het doen van aanbevelingen op het terrein van mensenrechten, waaronder het jaarlijks rapporteren over de mensenrechtensituatie in Nederland.
 
 * Het adviseren over (concept)wet- en regelgeving en beleid dat direct of indirect betrekking heeft op mensenrechten.
 
 * Het geven van voorlichting op het terrein van mensenrechten en het stimuleren en coördineren van onderwijs over de rechten van de mens.
 
 * Het stimuleren van onderzoek naar de bescherming van de rechten van de mens.
 
 * Het structureel samenwerken met maatschappelijke organisaties en nationale, Europese en internationale instellingen, onder meer door het organiseren van activiteiten in samenwerking met maatschappelijke organisaties.
 
 * Het aansporen tot de ratificatie, implementatie en naleving van verdragen over de rechten van de mens en het aansporen tot de opheffing van voorbehouden bij zulke verdragen.
 
 * Het aansporen tot de implementatie en naleving van bindende besluiten van volkenrechtelijke organisaties over de rechten van de mens.
 
 * Het aansporen tot de naleving van Europese of internationale aanbevelingen over de rechten van de mens.
 
 * Het mandaat van het College heeft ook betrekking op Caribisch Nederland, de eilanden Bonaire, Sint Eustatius en Saba. Dit geldt voor alle taken van het College, behalve de oordelende taak op het gebied van gelijke behandeling.",Ja,"12,20,21,22",De afwijkende bepalingen ten opzichte van de Kaderwet zelfstandige bestuursorganen worden vermeld in artikel 20 van de Wet college voor de rechten van de mens.,2012,"De Commissie gelijke behandeling, opgericht in 1994, is opgegaan in het College voor de rechten van de mens (zie TK 2010-2011, 32467, nummers 1-3).","50,44",bezetting en 57.6 formatief (beide 2015-03),CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
College voor de toelating van gewasbeschermingsmiddelen en biociden,Ctgb,Postbus 8030,6710 AA,Ede,Bennekomseweg 41,6717 LL,Ede,031 7471810,post@ctgb.nl,http://www.ctgb.nl/,"Wet gewasbeschermingsmiddelen en biociden, artikel 3, Staatsblad 2007, nummer 125",[Wet gewasbeschermingsmiddelen en biociden](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20gewasbeschermingsmiddelen%20en%20biociden/article=3),,Ministerie van Economische Zaken (EZ),Het College voor de toelating van gewasbeschermingsmiddelen en biociden oordeelt over de toelating van gewasbeschermingsmiddelen en biociden in Nederland.,Ja,,,2000,,"110,3",(2014-12-31),CAO Rijk,ABP,13/10/11,"TK 27858, nr. 100",onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
College voor Toetsen en Examens,CvTE,Postbus 315,3500 AH,Utrecht,Muntstraat 7,3512 ET,Utrecht,030 2840700,info@hetcvte.nl,http://www.hetcvte.nl/,Wet College voor Examens,[Wet College voor Examens](http://wetten.overheid.nl/BWBR0025364/),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","* Het College voor Toetsen en Examens (CvTE) is verantwoordelijk voor de centrale examens, de centrale rekentoets en de staatsexamens in het voortgezet onderwijs;
 
 * de examens rekenen, Nederlandse taal en Engels in het (middelbaar) beroepsonderwijs;
 
 * de centrale eindtoets in het primair onderwijs;
 
 * en de staatsexamens Nederlands als tweede taal.",Ja,,,2009,,25,-2014,CAO Rijk,ABP,01/05/15,"TK 34000 VIII, nr. 94",onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
Commissariaat voor de Media,CvdM,Postbus 1426,1200 BK,Hilversum,Hoge Naarderweg 78,1217 AH,Hilversum,035 7737700,cvdm@cvdm.nl,http://www.cvdm.nl/,Mediawet 2008 artikel 7.1,[Mediawet 2008](http://wetten.overheid.nl/BWBR0025028/Hoofdstuk7/Titel71),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","Ziet toe op naleving van de Mediawet en de daarop gebaseerde regels. Het Commissariaat garandeert daarmee een eerlijke toegang tot de media en bewaakt de kwaliteit, de diversiteit en de onafhankelijkheid van de informatievoorziening.",Ja,,,1988,,"47,75",-2015,COA Rijk,ABP,12/11/13,TK 33750-VIII nr. 60,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Commissie Eindtermen Accountantsopleiding,CEA,Postbus 7984,1008 AD,Amsterdam,Antonio Vivaldistraat 2 - 8,1083 HP,Amsterdam,020 3010421,info@cie-ea.nl,http://www.ceaweb.nl,"Wet op het accountantsberoep, artikel 49",[Wet op het accountantsberoep](http://wetten.overheid.nl/BWBR0032573/),,Ministerie van Financiën (FIN),"* Vaststellen van de eindtermen voor de opleidingen tot AA en RA;
 
 * Aanwijzen van opleidingen die geheel of gedeeltelijk voldoen aan de eindtermen, met uitzondering van de eindtermen die betrekking hebben op de praktijkstage;
 
 * Toetsen van de praktijkstage aan de mate waarin wordt voldaan aan de eindtermen;
 
 * Afgeven van verklaringen van vakbekwaamheid aan buitenlandse accountants.",Ja,,,2006,,"4,49",-2014,onbekend,onbekend,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
Commissie schadefonds geweldsmisdrijven,SGM,Postbus 71,2501 CB,Den Haag,Kneuterdijk 1,2514 EM,Den Haag,070 4142000,info@schadefonds.nl,http://www.schadefonds.nl/,"Wet schadefonds geweldsmisdrijven, artikel 8",[Wet schadefonds geweldsmisdrijven](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20SCHADEFONDS%20GEWELDSMISDRIJVEN),,Ministerie van Veiligheid en Justitie (VenJ),"Tegemoetkomen aan slachtoffers van ernstige opzettelijk gepleegde geweldsmisdrijven voor de letstelschade. Indien betrokkene is overleden, kunnen nabestaanden een verzoek doen om een uitkering.",Ja,,,1993,,"84,6",-2015,CAO Rijk (ondersteunend bureau),ABP (ondersteunend bureau),,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
De in het kader van Metrologiewet artikel 11 en 12 erkende keurders en aangewezen instanties,,,,,,,,,,,"Metrologiewet, artikelen 11 en 12",[Metrologiewet](http://wetten.overheid.nl/BWBR0019517/),,Ministerie van Economische Zaken (EZ),Het optreden als onafhankelijke toetsende instantie bij overeenstemmingbeoordelingen van meetinstrumenten.,Nee,,,2007,"Ten aanzien van privaatrechtelijke deeltijd keuringsinstanties is besloten dat deze niet noodzakelijk onder de Kaderwet ZBO hoeven te worden gebracht. Zie meer hierover: Kamerstukken TK 2007/08. 25 268, nr. 53 (brief van de Minister van Economische Zaken).
 
 
 
 Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.",,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,17/09/15
De Nederlandsche Bank,DNB,Postbus 98,1000 AB,Amsterdam,Westeinde 1,1017 ZN,Amsterdam,020 524 91 11,info@dnb.nl,http://www.dnb.nl/,Wet op het financieel toezicht artikel 1:30,[Wet op het financieel toezicht](http://wetten.overheid.nl/BWBR0020368/1/Hoofdstuk12/Afdeling122/Artikel130/),,Ministerie van Financiën (FIN),"* DNB is ingevolge artikel 4 van de Bankwet 1998 belast met de volgende nationale taken:het uitoefenen van toezicht op financiële instellingen;
 
 * het bevorderen van de goede werking van het betalingsverkeer;
 
 * het verzamelen van statistische gegevens en het vervaardigen van statistieken op de voet van de daarvoor geldende wettelijke regelingen.
 
 * De Bank kan tevens, na verkregen toestemming bij Koninklijk Besluit, andere taken uitvoeren dan de in de Bankwet 1998 genoemde taken.",Ja,"21,22,32,33",artikel 28 lid 1 & artikel 34 lid 1 zijn niet van toepassing,1814,,804,(2014-12-31),Eigen CAO,TKP Groningen,,,onbekend,Privaatrechtelijk - Overig,Afzonderlijke ZBO,18/07/16
Dienst voor het kadaster en de openbare registers,Kadaster,Postbus 9046,7300 GH,Apeldoorn,Hofstraat 110,7311 KZ,Apeldoorn,088 1832000,Op de website kunt u een contactformulier vinden.,http://www.kadaster.nl/,"Organisatiewet Kadaster, artikel 2, Staatsblad 1994, nummer 125",[Organisatiewet Kadaster](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Organisatiewet%20Kadaster/article=2),,Ministerie van Infrastructuur en Milieu (IenM),"* Bevorderen van de rechtszekerheid bij het maatschappelijk verkeer in vastgoed, inclusief schepen en luchtvaartuigen door:inwinnen, accepteren, muteren, beheren en verstrekken van informatie over vastgoed;
 
 * het instandhouden van een net van zogenaamde coördinaatpunten, de Rijksdriehoeksmeting;
 
 * meewerken aan het landinrichtingsproces;
 
 * het vervaardigen, verzamelen, houden en bijwerken van geografische gegevens en het landsdekkend cartografisch weergeven daarvan (artikel 3 kadasterwet).",Ja,15,,1994,,1.632,(2014-12-31),Eigen CAO,ABP,17/12/15,TK 25268 nr. 129,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Directeur-generaal van de Statistiek,DG,Postbus 24500,2490 HA,Den Haag,Henri Faasdreef 312,2492 JP,Den Haag,070 3373800,infoservice@cbs.nl,http://www.cbs.nl/,"Wet op het Centraal bureau voor de statistiek, Staatsblad 2003, nummer 516",[Wet op het Centraal bureau voor de statistiek](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20Centraal%20bureau%20voor%20de%20statistiek/article=2),,Ministerie van Economische Zaken (EZ),"De DG is belast met het besturen van het Centraal Bureau voor de Statistiek (CBS) dat tot taak heeft het van overheidswege verrichten van statistisch onderzoek ten behoeve van praktijk, beleid en wetenschap en het openbaar maken van de op grond van zodanig onderzoek samengestelde statistieken. Naast de verantwoordelijkheid voor de nationale (officiële) statistieken is het CBS ook belast met de productie van Europese (communautaire) statistieken.",Ja,18,,1899,"Behalve de Directeur-generaal van de statistiek heeft het CBS nog een bestuursorgaan, te weten de Centrale Commissie voor de Statistiek.",1.759,(2014-12-31),CAO Rijk,ABP,22/01/12,TK 25268 nr. 74,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
Edelmetaal Waarborg Nederland b.v.,EWN,Postbus 17,8500 AA,Joure,Polderbosdyk 13A,8501 ZJ,Joure,0513 468111,info@ewnederland.nl,http://www.ewnederland.nl/,Waarborgwet 1986 artikel 7 en aanwijzing waarborginstelling in het kader van Waarborgwet 1986 Stcrt. 2002 nr. 47,[Waarborgwet 1986](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Waarborgwet%201986/article=7),,Ministerie van Economische Zaken (EZ),Keuren van voorwerpen op hun gehalte aan edelmetaal,Ja,22,,2002,Deze organisatie is onderdeel van het cluster Waarborginstellingen.,,,,,,,onbekend,Privaatrechtelijk - Overig,Onderdeel van een cluster,15/08/16
Erkenninghouders Algemene Periodieke Keuring,APK,,,,,,,,,,"* De eisen en voorwaarden waaraan bedrijven met het oog op het verkrijgen en in stand houden van de APK-erkenning moeten voldoen, liggen vast in de Regeling erkenning en keuringsbevoegdheid APK.
 
 * Wegenverkeerswet 1994 (WvW  94): Hierin zijn de taken en de bevoegdheden van de RDW (als toezichthouder) opgenomen.
 
 * Besluit voertuigen (21 februari 2009) 
 
 * Regeling voertuigen (3 februari 2014)","</br>[Regeling erkenning en keuringsbevoegdheid APK](http://wetten.overheid.nl/BWBR0025735/)
 </br>[Wegenverkeerswet 1994](http://wetten.overheid.nl/BWBR0006622/)
 </br>[Besluit voertuigen](http://wetten.overheid.nl/BWBR0025554/)
 </br>[Regeling voertuigen](http://wetten.overheid.nl/BWBR0025798/)",,Ministerie van Infrastructuur en Milieu (IenM),Uitvoeren van een periodieke keuring van motorrijtuigen.,Nee,,,1994,"De namen van alle APK stations in Nederland worden niet opgenomen in dit register.
 
 
 
 Erkenninghouders Algemene Periodieke Keuring is een cluster.",,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,01/09/16
Faunafonds,,,,,Leidseveer 2,3511 SB,Utrecht,085 4862222,info@bij12.nl,http://www.faunafonds.nl/,"Flora- en faunawet artikel 83, Staatsblad 1998, nummer 402,",[Flora- en faunawet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=FLORA-%20EN%20FAUNAWET),,Ministerie van Economische Zaken (EZ),"* Bevorderen van maatregelen ter voorkoming en bestrijding van schade door dieren behorende tot bij algemene maatregel van bestuur aangewezen soorten;
 
 * in de daarvoor in aanmerking komende gevallen verlenen van tegemoetkomingen en geleden schade, aangericht door dieren behorende tot beschermde inheemse diersoorten;
 
 * gedeputeerde staten van de provincies van advies dienen over de uitvoering van taken hen bij of krachtens de Flora- en faunawet opgedragen enzovoort;
 
 * de Minister van Economische Zaken, van advies dienen omtrent bestrijding van schade door beschermde inheemse diersoorten, die in hun voortbestaan worden bedreigd of gevaar lopen.",Nee,,,2002,,,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
