Gemeente,Plaats,Postcode,Plaats,Postadres,Postcode,Plaats,Telefoon,Fax,E-mail,website
Etten-Leur,Roosendaalseweg 4,4875 AA,ETTEN-LEUR,Postbus 10100,4870 GA,ETTEN-LEUR,,(076) 503 38 80,info@etten-leur.nl,www.etten-leur.nl
Ferwerderadiel,Hegebeintumerdyk 2,9172 PJ,FERWERT,Postbus 2,9172 ZS,FERWERT,(0518) 41 88 88,(0518) 41 88 77,info@ferwerderadiel.nl,www.ferwerderadiel.nl
Franekeradeel,Harlingerweg 18,8801 PA,FRANEKER,Postbus 58,8800 AB,FRANEKER,(0517) 38 03 80,(0517) 38 03 88,info@franekeradeel.nl,www.franekeradeel.nl
Geertruidenberg,Vrijheidstraat 2,4941 DX,RAAMSDONKSVEER,Postbus 10001,4940 GA,RAAMSDONKSVEER,(0162) 57 95 79,(0162) 57 95 33,info@geertruidenberg.nl,www.geertruidenberg.nl
Geldermalsen,Kuipershof 2,4191 KH,GELDERMALSEN,Postbus 112,4190 CC,GELDERMALSEN,(0345) 58 66 11,(0345) 57 32 58,info@geldermalsen.nl,www.geldermalsen.nl
Geldrop-Mierlo,Hofstraat 4,5664 HT,GELDROP,Postbus 10101,5660 GA,GELDROP,14 040,(040) 289 38 00,gemeente@geldrop-mierlo.nl,www.geldrop-mierlo.nl
Gemert-Bakel,Ridderplein 1,5421 CV,GEMERT,Postbus 10000,5420 DA,GEMERT,(0492) 37 85 00,(0492) 36 63 25,gemeente@gemert-bakel.nl,www.gemert-bakel.nl
Gennep,Ellen Hoffmannplein 1,6591 CP,GENNEP,Postbus 9003,6590 HD,GENNEP,(0485) 49 41 41,(0485) 51 55 44,gemeente@gennep.nl,www.gennep.nl
Giessenlanden,Groeneweg 33,4223 ME,HOORNAAR,Postbus 1,4223 ZG,HOORNAAR,(0183) 58 38 38,(0183) 58 14 80,gemeente@giessenlanden.nl,www.giessenlanden.nl
Gilze en Rijen,Raadhuisplein 1,5121 JX,RIJEN,Postbus 73,5120 AB,RIJEN,14 0161,(0161) 22 38 51,info@gilzerijen.nl,www.gilzerijen.nl
Goeree-Overflakkee,Koningin Julianaweg 45,3241 XB,MIDDELHARNIS,Postbus 1,3240 AA,MIDDELHARNIS,14 0187,(0187) 47 55 47,info@goeree-overflakkee.nl,www.goeree-overflakkee.nl
Goes,M.A. de Ruijterlaan 2,4461 GE,GOES,Postbus 2118,4460 MC,GOES,(0113) 24 96 00,(0113) 23 08 76,stadskantoor@goes.nl,www.goes.nl
Goirle,Oranjeplein 1,5051 LT,GOIRLE,Postbus 17,5050 AA,GOIRLE,(013) 531 06 10,(013) 534 39 85,info@goirle.nl,www.goirle.nl
Gorinchem,Stadhuisplein 1,4205 AZ,GORINCHEM,Postbus 108,4200 AC,GORINCHEM,(0183) 65 95 95,(0183) 63 05 40,Gemeente@Gorinchem.nl,www.gorinchem.nl
Gouda,Burgemeester Jamesplein 1,2803 PG,GOUDA,Postbus 1086,2800 BB,GOUDA,14 0182,(0182) 58 84 64,gemeente@gouda.nl,www.gouda.nl
Grave,Arnoud van Gelderweg 71,5361 CV,GRAVE,Postbus 7,5360 AA,GRAVE,(0486) 47 72 77,(0486) 47 72 22,info@grave.nl,www.grave.nl
Groesbeek,Dorpsplein 1,6562 AH,GROESBEEK,Postbus 20,6560 AA,GROESBEEK,(024) 399 61 11,(024) 399 63 33,gemeente@groesbeek.nl,www.groesbeek.nl
Groningen,Grote Markt 1,9712 HN,GRONINGEN,Postbus 20001,9700 PB,GRONINGEN,(050) 367 91 11,(050) 367 77 50,info@groningen.nl,www.groningen.nl
Grootegast,Hoofdstraat 97,9861 AC,GROOTEGAST,Postbus 46,9860 AA,GROOTEGAST,14-0594,(0594) 61 40 29,info@grootegast.nl,www.grootegast.nl
Gulpen-Wittem,Willem Vliegenstraat 12,6271 DA,GULPEN,Postbus 56,6270 AB,GULPEN,(043) 880 06 00,(043) 880 06 01,info@gulpen-wittem.nl,www.gulpen-wittem.nl
Haaksbergen,Markt 3,7481 HS,HAAKSBERGEN,Postbus 102,7480 AC,HAAKSBERGEN,(053) 573 45 67,(053) 572 80 75,gemeente@haaksbergen.nl,www.haaksbergen.nl
Haaren,Mgr Bekkersplein 2,5076 AV,HAAREN,Postbus 44,5076 ZG,HAAREN,(0411) 62 72 82,(0411) 62 72 98,gemeente@haaren.nl,www.haaren.nl
Haarlem,Zijlvest 39,2011 VB,HAARLEM,Postbus 511,2003 PB,HAARLEM,(023) 511 30 00,(023) 511 34 40,antwoord@haarlem.nl,www.haarlem.nl
Haarlemmerliede c.a.,Haarlemmerstraatweg 51,1165 MJ,HALFWEG NH,Postbus 83,1160 AB,ZWANENBURG,(020) 407 90 00,(020) 407 90 90,post@Haarlemmerliede.nl,www.haarlemmerliede.nl
Haarlemmermeer,Raadhuisplein 1,2132 TZ,HOOFDDORP,Postbus 250,2130 AG,HOOFDDORP,0900 1852,(023) 563 95 50,info@haarlemmermeer.nl,www.haarlemmermeer.nl
Halderberge,Parklaan 15,4731 GJ,OUDENBOSCH,Postbus 5,4730 AA,OUDENBOSCH,(0165) 39 05 00,(0165) 31 88 58,gemeente@halderberge.nl,www.halderberge.nl
Hardenberg,Stephanuspark 1,7772 HZ,HARDENBERG,Postbus 500,7770 BA,HARDENBERG,14 0523,,gemeente@hardenberg.nl,www.hardenberg.nl
Harderwijk,Havendam 56,3841 AA,HARDERWIJK,Postbus 149,3840 AC,HARDERWIJK,(0341) 41 19 11,(0341) 42 58 95,gemeente@harderwijk.nl,www.harderwijk.nl
Hardinxveld-Giessendam,Raadhuisplein 1,3371 AS,HARDINXVELD-GIESSENDAM,Postbus 175,3370 AD,HARDINXVELD-GIESSENDAM,14 0184,(0184) 67 44 00,info@gemhg.nl,www.hardinxveld-giessendam.nl
Haren,Raadhuisplein 10,9751 AN,HAREN GN,Postbus 21,9750 AA,HAREN GN,(050) 533 99 11,(050) 534 03 85,gemeente@haren.nl,www.haren.nl
Harlingen,Voorstraat 35,8861 BD,HARLINGEN,Postbus 10000,8860 HA,HARLINGEN,(0517) 49 22 22,(0517) 41 26 64,gemeentebestuur@harlingen.nl,www.harlingen.nl
Hattem,Markt 1,8051 EZ,HATTEM,Postbus 93,8050 AB,HATTEM,(038) 443 16 16,(038) 444 68 39,gemeente@hattem.nl,www.hattem.nl
Heemskerk,Maerten v Heemskerckpln 1,1964 EZ,HEEMSKERK,Postbus 1,1960 AA,HEEMSKERK,14 0251,(0251) 25 68 88,post@heemskerk.nl,www.heemskerk.nl
Heemstede,Raadhuisplein 1,2101 HA,HEEMSTEDE,Postbus 352,2100 AJ,HEEMSTEDE,14 023,(023) 548 57 00,gemeente@heemstede.nl,www.heemstede.nl
Heerde,Marktstraat 1,8181 JE,HEERDE,Postbus 175,8180 AD,HEERDE,(0578) 69 94 94,(0578) 69 52 88,gemeente@heerde.nl,www.heerde.nl
Heerenveen,Crackstraat 2,8441 ES,HEERENVEEN,Postbus 15000,8440 GA,HEERENVEEN,(0513) 61 76 17,(0513) 61 74 75,gemeente@heerenveen.nl,www.heerenveen.nl
Heerhugowaard,Parelhof 1,1703 EZ,HEERHUGOWAARD,Postbus 390,1700 AJ,HEERHUGOWAARD,14 072,14 072,post@heerhugowaard.nl,www.heerhugowaard.nl
Heerlen,Geleenstraat 25 -27,6411 HP,HEERLEN,Postbus 1,6400 AA,HEERLEN,14 045,(045) 560 44 90,gemeente@heerlen.nl,www.heerlen.nl
Heeze-Leende,Jan Deckersstraat 2,5591 HS,HEEZE,Postbus 10000,5590 GA,HEEZE,(040) 224 14 00,(040) 224 14 50,postbus@heeze-leende.nl,www.heeze-leende.nl
Heiloo,Raadhuisplein 1,1851 JL,HEILOO,Postbus 1,1850 AA,HEILOO,(072) 535 66 66,(072) 535 67 88,info@heiloo.nl,www.heiloo.nl
Hellendoorn,Willem-Alexanderstraat 7,7442 MA,NIJVERDAL,Postbus 200,7440 AE,NIJVERDAL,(0548) 63 00 00,(0548) 61 05 05,gemeentebestuur@hellendoorn.nl,www.hellendoorn.nl
Hellevoetsluis,Oostzanddijk 26,3221 AL,HELLEVOETSLUIS,Postbus 13,3220 AA,HELLEVOETSLUIS,14 0181,(0181) 33 03 30,gemeente@hellevoetsluis.nl,www.hellevoetsluis.nl
